SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1990-12-16,350,0.5136028187112531,1991-06-26,177,0.576745101696,1991-10-16,289,0.41871695708679435,438060.0,-3058260.0,Dense trees,304,1991.0,ScrubbyCamp
1992-01-04,4,0.39131544203638663,1992-03-24,84,0.43907998381112046,1992-07-30,212,0.364044618271101,438060.0,-3058260.0,Dense trees,208,1992.0,ScrubbyCamp
1998-10-03,276,0.4314192716955417,1999-02-24,55,0.4463568241989946,1999-08-19,231,0.4324521597290229,438060.0,-3058260.0,Dense trees,320,1999.0,ScrubbyCamp
2001-02-13,44,0.49235491427247374,2001-09-09,252,0.5309784231582251,2001-10-27,300,0.42822050896110075,438060.0,-3058260.0,Dense trees,256,2001.0,ScrubbyCamp
2002-01-15,15,0.4362961022046853,2002-01-31,31,0.47533411815931453,2002-06-08,159,0.3962988729203535,438060.0,-3058260.0,Dense trees,144,2002.0,ScrubbyCamp
2011-01-24,24,0.4681738012968881,2011-08-04,216,0.6829422747482995,2011-11-08,312,0.5521024079578976,438060.0,-3058260.0,Dense trees,288,2011.0,ScrubbyCamp
2012-01-11,11,0.5385274132559328,2012-02-12,43,0.5990892546232653,2012-08-06,219,0.5205843591230364,438060.0,-3058260.0,Dense trees,208,2012.0,ScrubbyCamp
2013-01-29,29,0.45302373090085557,2013-03-02,61,0.4887476885027255,2013-06-22,173,0.4523261830240217,438060.0,-3058260.0,Dense trees,144,2013.0,ScrubbyCamp
2016-01-06,6,0.42988304748265194,2016-02-07,38,0.44934600537810127,2016-06-30,182,0.4135095033064242,438060.0,-3058260.0,Dense trees,176,2016.0,ScrubbyCamp
2017-02-25,56,0.4955606509481675,2017-09-21,264,0.5526363346807323,2017-12-10,344,0.43137369011513704,438060.0,-3058260.0,Dense trees,288,2017.0,ScrubbyCamp
2018-02-12,43,0.42348257382918103,2018-03-16,75,0.47965394198205447,2018-06-20,171,0.4250677538176335,438060.0,-3058260.0,Dense trees,128,2018.0,ScrubbyCamp
1989-12-29,363,0.550433459818287,1990-01-14,14,0.5802955483964687,1990-07-09,190,0.551860151301177,438180.0,-3058260.0,Dense trees,192,1990.0,ScrubbyCamp
1990-10-13,286,0.566048273334203,1991-05-09,129,0.6051438206141287,1991-12-03,337,0.44223087470012556,438180.0,-3058260.0,Dense trees,416,1991.0,ScrubbyCamp
1999-04-29,119,0.5890892241840662,1999-09-20,263,0.6203036669272621,1999-10-22,295,0.5645655022302128,438180.0,-3058260.0,Dense trees,176,1999.0,ScrubbyCamp
1999-12-09,343,0.5616061547062259,2000-01-10,10,0.6075141340123679,2000-06-02,154,0.5587124417501733,438180.0,-3058260.0,Dense trees,176,2000.0,ScrubbyCamp
2000-11-09,314,0.5882736286266584,2001-05-20,140,0.6394644583532627,2001-11-12,316,0.4735318114324004,438180.0,-3058260.0,Dense trees,368,2001.0,ScrubbyCamp
2002-01-15,15,0.49048546304633367,2002-01-31,31,0.554493755312937,2002-06-08,159,0.4683785176563611,438180.0,-3058260.0,Dense trees,144,2002.0,ScrubbyCamp
2008-09-28,272,0.5479807136905992,2009-05-10,130,0.5650212030755177,2009-11-02,306,0.45774460637005887,438180.0,-3058260.0,Dense trees,400,2009.0,ScrubbyCamp
2011-02-09,40,0.6176407844672595,2011-09-05,248,0.7657833260836863,2011-10-23,296,0.6432131392836027,438180.0,-3058260.0,Dense trees,256,2011.0,ScrubbyCamp
2012-01-27,27,0.6289277426284029,2012-02-12,43,0.6847182383679914,2012-06-03,155,0.6053640491257103,438180.0,-3058260.0,Dense trees,128,2012.0,ScrubbyCamp
2013-02-14,45,0.5782747797117896,2013-03-02,61,0.594738113822146,2013-07-24,205,0.548711423105953,438180.0,-3058260.0,Dense trees,160,2013.0,ScrubbyCamp
2013-11-13,317,0.555892417382971,2014-06-09,160,0.5870125270220519,2014-12-18,352,0.5045579588116427,438180.0,-3058260.0,Dense trees,400,2014.0,ScrubbyCamp
2015-02-04,35,0.49643368694283074,2015-02-20,51,0.554898951336732,2015-07-14,195,0.5028538915310475,438180.0,-3058260.0,Dense trees,160,2015.0,ScrubbyCamp
2017-02-09,40,0.6367302143268194,2017-08-20,232,0.7738982488865139,2017-11-24,328,0.5558301605530269,438180.0,-3058260.0,Dense trees,288,2017.0,ScrubbyCamp
2018-02-28,59,0.5377350154729752,2018-04-17,107,0.5957874193582803,2018-07-06,187,0.5223275861643855,438180.0,-3058260.0,Dense trees,128,2018.0,ScrubbyCamp
1990-10-13,286,0.5211381851559419,1991-05-09,129,0.5866549963463337,1991-11-01,305,0.3929287508319572,438210.0,-3058260.0,Dense trees,384,1991.0,ScrubbyCamp
1997-08-29,241,0.4609059074222237,1997-09-30,273,0.4678246113123393,1997-11-01,305,0.42862971639801994,438210.0,-3058260.0,Dense trees,64,1997.0,ScrubbyCamp
1998-01-04,4,0.4235156550613833,1998-01-20,20,0.4528341412691628,1998-06-13,164,0.4169762597988979,438210.0,-3058260.0,Dense trees,160,1998.0,ScrubbyCamp
1999-02-08,39,0.5043725792106989,1999-09-04,247,0.5820419203781888,1999-10-06,279,0.5236102941392771,438210.0,-3058260.0,Dense trees,240,1999.0,ScrubbyCamp
1999-12-09,343,0.5026176755861697,2000-01-10,10,0.5472330374453876,2000-05-17,138,0.5022971873057314,438210.0,-3058260.0,Dense trees,160,2000.0,ScrubbyCamp
2000-11-09,314,0.5382336541753112,2001-05-20,140,0.5971950108010295,2001-10-27,300,0.41972344051685384,438210.0,-3058260.0,Dense trees,352,2001.0,ScrubbyCamp
2002-01-15,15,0.4340401667982886,2002-01-31,31,0.4955482306880261,2002-06-08,159,0.38714557944631484,438210.0,-3058260.0,Dense trees,144,2002.0,ScrubbyCamp
2008-02-17,48,0.46525582271736815,2008-09-12,256,0.5067099736978321,2008-10-14,288,0.4392392650068335,438210.0,-3058260.0,Dense trees,240,2008.0,ScrubbyCamp
2008-12-01,336,0.4249417785446338,2009-01-18,18,0.47494972602195,2009-05-26,146,0.43266571918701635,438210.0,-3058260.0,Dense trees,176,2009.0,ScrubbyCamp
2011-02-09,40,0.5558617687996437,2011-08-20,232,0.7383920356219142,2011-11-08,312,0.5549686253621963,438210.0,-3058260.0,Dense trees,272,2011.0,ScrubbyCamp
2012-01-27,27,0.5386809218204737,2012-02-28,59,0.6228331836557555,2012-06-03,155,0.544080102682835,438210.0,-3058260.0,Dense trees,128,2012.0,ScrubbyCamp
2013-02-14,45,0.4848639054193647,2013-03-18,77,0.5285926135818965,2013-07-24,205,0.49265748617487054,438210.0,-3058260.0,Dense trees,160,2013.0,ScrubbyCamp
2016-01-06,6,0.45375013230802036,2016-02-23,54,0.48359698828774184,2016-06-30,182,0.4492798182413962,438210.0,-3058260.0,Dense trees,176,2016.0,ScrubbyCamp
2017-02-09,40,0.5572793769569913,2017-08-20,232,0.6736651358388563,2017-11-08,312,0.5136743722483477,438210.0,-3058260.0,Dense trees,272,2017.0,ScrubbyCamp
2018-02-12,43,0.4599082700587758,2018-04-01,91,0.5276607295843428,2018-07-06,187,0.46342693484555947,438210.0,-3058260.0,Dense trees,144,2018.0,ScrubbyCamp
1990-01-14,14,0.49557912618188793,1990-01-30,30,0.5238379958894118,1990-07-09,190,0.4941763423407964,438150.0,-3058290.0,Dense trees,176,1990.0,ScrubbyCamp
1990-12-16,350,0.5367599070235158,1991-06-26,177,0.6128504671321515,1991-11-01,305,0.46971843195546403,438150.0,-3058290.0,Dense trees,320,1991.0,ScrubbyCamp
1998-08-16,228,0.5265989801609663,1999-02-24,55,0.5674384235525906,1999-07-18,199,0.5357527034922765,438150.0,-3058290.0,Dense trees,336,1999.0,ScrubbyCamp
2000-10-24,298,0.5472432207799147,2001-05-20,140,0.5910228066902986,2001-11-28,332,0.47842290861920206,438150.0,-3058290.0,Dense trees,400,2001.0,ScrubbyCamp
