SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1991-01-10,10,0.32176624092901623,1991-08-06,218,0.34459596530130615,1991-10-09,282,0.33364646814694593,565710.0,-3048750.0,Dense trees,272,1991.0,Baryulah
2000-10-01,275,0.3394898010547762,2001-01-21,21,0.3516591084085761,2001-08-17,229,0.33516374228083035,565710.0,-3048750.0,Dense trees,320,2001.0,Baryulah
2010-06-07,158,0.37769757876615745,2011-01-01,1,0.4640506651135747,2011-07-12,193,0.4017859022489173,565710.0,-3048750.0,Dense trees,400,2011.0,Baryulah
2016-07-25,207,0.354702561928411,2017-02-18,49,0.38362780264222357,2017-08-29,241,0.34274825211361104,565710.0,-3048750.0,Dense trees,400,2017.0,Baryulah
2000-06-11,163,0.46616068490871027,2001-01-21,21,0.48589552259328433,2001-08-17,229,0.4390312297388045,565530.0,-3048660.0,Mid-dense trees,432,2001.0,Baryulah
2008-02-10,41,0.3259756577338744,2008-09-05,249,0.36190002422498635,2009-04-01,91,0.3499829149344706,565530.0,-3048660.0,Mid-dense trees,416,2008.0,Baryulah
2010-06-07,158,0.4578391702941446,2011-01-01,1,0.5317488754452953,2011-07-28,209,0.4802555867639708,565530.0,-3048660.0,Mid-dense trees,416,2011.0,Baryulah
2011-11-17,321,0.4611085558072307,2012-06-12,164,0.48886487719601185,2012-10-02,276,0.4615310608397443,565530.0,-3048660.0,Mid-dense trees,320,2012.0,Baryulah
2016-03-19,79,0.43063003006336925,2016-10-13,287,0.4686234021171769,2017-05-09,129,0.43181398290911316,565530.0,-3048660.0,Mid-dense trees,416,2016.0,Baryulah
2000-07-13,195,0.3860167560139749,2001-02-06,37,0.4072266298011454,2001-09-02,245,0.37245519551255996,565500.0,-3048690.0,Mid-dense trees,416,2001.0,Baryulah
2008-02-26,57,0.3113900614934403,2008-09-21,265,0.344783609481207,2009-04-17,107,0.330359226944922,565500.0,-3048690.0,Mid-dense trees,416,2008.0,Baryulah
2010-06-23,174,0.42551060964505183,2011-01-17,17,0.5078209804338697,2011-08-13,225,0.4690209086604225,565500.0,-3048690.0,Mid-dense trees,416,2011.0,Baryulah
2016-05-06,127,0.40240692887133156,2016-11-30,335,0.42705116033192064,2017-06-10,161,0.38530110048755856,565500.0,-3048690.0,Mid-dense trees,400,2016.0,Baryulah
