SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1993-08-18,230,0.4366183523518067,1994-03-14,73,0.46781094985090976,1994-10-08,281,0.43101244234469216,508830.0,-3053220.0,Dense trees,416,1994.0,Bullah Bullah
1997-01-17,17,0.4337841975668822,1997-08-13,225,0.4714352465569559,1998-02-05,36,0.4261433577543444,508830.0,-3053220.0,Dense trees,384,1997.0,Bullah Bullah
1999-01-23,23,0.46151765823138985,1999-08-19,231,0.5289002744662575,2000-02-27,58,0.45896954320083005,508830.0,-3053220.0,Dense trees,400,1999.0,Bullah Bullah
2010-08-01,213,0.3764853463748524,2011-02-09,40,0.4790625634465242,2011-09-05,248,0.4413017684443469,508830.0,-3053220.0,Dense trees,400,2011.0,Bullah Bullah
1990-09-27,270,0.5266491459366286,1991-04-07,97,0.6086753385628051,1991-09-30,273,0.5462391514461075,508950.0,-3053250.0,Dense trees,368,1991.0,Bullah Bullah
1992-02-21,52,0.5345765563073199,1992-09-16,260,0.5661175353002312,1993-01-06,6,0.5472136971760376,508950.0,-3053250.0,Dense trees,320,1992.0,Bullah Bullah
1996-07-25,207,0.647917005080768,1997-02-18,49,0.683816712488096,1997-09-14,257,0.5816437227559842,508950.0,-3053250.0,Dense trees,416,1997.0,Bullah Bullah
1998-09-01,244,0.653069200766878,1999-03-12,71,0.737779334750946,1999-10-22,295,0.7272869080375803,508950.0,-3053250.0,Dense trees,416,1999.0,Bullah Bullah
2008-02-01,32,0.3923634090369011,2008-08-27,240,0.44167588638943334,2008-12-01,336,0.4117803484706354,508950.0,-3053250.0,Dense trees,304,2008.0,Bullah Bullah
2010-08-01,213,0.5060118750740048,2011-02-09,40,0.7170746435349664,2011-08-20,232,0.5850716859583915,508950.0,-3053250.0,Dense trees,384,2011.0,Bullah Bullah
2012-03-15,75,0.5214056278972037,2012-10-09,283,0.5494525807904184,2012-12-12,347,0.5310854907623498,508950.0,-3053250.0,Dense trees,272,2012.0,Bullah Bullah
2016-04-27,118,0.5047569818533111,2016-11-21,326,0.6585855188452326,2017-04-30,120,0.5748156979765408,508950.0,-3053250.0,Dense trees,368,2016.0,Bullah Bullah
2018-02-28,59,0.5172529415219858,2018-06-20,171,0.550345790837509,2019-01-14,14,0.5056724011485554,508950.0,-3053250.0,Dense trees,320,2018.0,Bullah Bullah
2019-03-03,62,0.49759805178399813,2019-06-07,158,0.5282002815857632,2020-01-17,17,0.4981723606192328,508950.0,-3053250.0,Dense trees,320,2019.0,Bullah Bullah
1990-09-11,254,0.5665923918839911,1991-03-22,81,0.6276930866928344,1991-09-30,273,0.5663288173255174,508980.0,-3053250.0,Dense trees,384,1991.0,Bullah Bullah
1995-03-01,60,0.48449637802824497,1995-09-25,268,0.5637785375998535,1996-01-15,15,0.5265307565325661,508980.0,-3053250.0,Dense trees,320,1995.0,Bullah Bullah
1996-08-10,223,0.5791512873356284,1997-02-18,49,0.6352594630231527,1997-09-14,257,0.565489156326113,508980.0,-3053250.0,Dense trees,400,1997.0,Bullah Bullah
1998-08-16,228,0.5782387498205888,1999-02-24,55,0.6523436818809744,1999-09-04,247,0.6129397839994074,508980.0,-3053250.0,Dense trees,384,1999.0,Bullah Bullah
2000-02-11,42,0.6479252318843371,2000-08-21,234,0.7198634643162014,2001-04-02,92,0.682644298465385,508980.0,-3053250.0,Dense trees,416,2000.0,Bullah Bullah
2007-01-29,29,0.37573445963186947,2007-08-25,237,0.432834872437678,2007-11-13,317,0.39864097997367554,508980.0,-3053250.0,Dense trees,288,2007.0,Bullah Bullah
2010-06-30,181,0.5055787438052644,2011-01-08,8,0.7763611039354225,2011-07-19,200,0.6336458057139455,508980.0,-3053250.0,Dense trees,384,2011.0,Bullah Bullah
2016-06-30,182,0.47551431326109406,2017-01-08,8,0.5915236411382474,2017-07-19,200,0.4982612276724441,508980.0,-3053250.0,Dense trees,384,2017.0,Bullah Bullah
2020-04-06,97,0.4903839805644406,2020-10-31,305,0.5604226171188956,2020-12-02,337,0.5416953002630029,508980.0,-3053250.0,Dense trees,240,2020.0,Bullah Bullah
1990-09-27,270,0.5461885666287647,1991-02-02,33,0.5781461517062898,1991-08-13,225,0.5150210408042695,508590.0,-3053310.0,Dense trees,320,1991.0,Bullah Bullah
1995-01-12,12,0.4265610272890606,1995-08-08,220,0.4591681292516057,1995-11-12,316,0.4267758502555503,508590.0,-3053310.0,Dense trees,304,1995.0,Bullah Bullah
1998-06-29,180,0.5115434042285681,1999-01-23,23,0.5376737046478749,1999-08-19,231,0.5018671350516634,508590.0,-3053310.0,Dense trees,416,1999.0,Bullah Bullah
2000-05-01,122,0.5650891968594274,2000-11-25,330,0.6086820609326569,2001-06-05,156,0.48671962773359523,508590.0,-3053310.0,Dense trees,400,2000.0,Bullah Bullah
2008-02-17,48,0.39752075193836206,2008-09-12,256,0.45234083409592285,2008-10-30,304,0.4422024631667698,508590.0,-3053310.0,Dense trees,256,2008.0,Bullah Bullah
2010-07-16,197,0.48990791215940027,2011-01-24,24,0.695044298302874,2011-08-04,216,0.5876554980199166,508590.0,-3053310.0,Dense trees,384,2011.0,Bullah Bullah
2015-01-03,3,0.48665043575701256,2015-04-09,99,0.5032216086478895,2015-11-03,307,0.47228500824413744,508590.0,-3053310.0,Dense trees,304,2015.0,Bullah Bullah
2016-04-27,118,0.5198066612978646,2016-11-05,310,0.6037595890944207,2017-04-30,120,0.5539604762328975,508590.0,-3053310.0,Dense trees,368,2016.0,Bullah Bullah
1990-07-25,206,0.4671275700440193,1991-01-17,17,0.5042463118920002,1991-07-28,209,0.4289983410152772,508620.0,-3053310.0,Dense trees,368,1991.0,Bullah Bullah
1997-01-17,17,0.3740566139597158,1997-08-13,225,0.4481297035218238,1997-12-03,337,0.41102333915170286,508620.0,-3053310.0,Dense trees,320,1997.0,Bullah Bullah
2000-01-10,10,0.42959412001960484,2000-08-05,218,0.48150469079865965,2001-03-01,60,0.43264158720669815,508620.0,-3053310.0,Dense trees,416,2000.0,Bullah Bullah
2010-09-02,245,0.4417520240668677,2011-02-25,56,0.5617415598112329,2011-09-21,264,0.5082688234675045,508620.0,-3053310.0,Dense trees,384,2011.0,Bullah Bullah
2016-05-29,150,0.3744181309025125,2016-12-07,342,0.42937912795357186,2017-06-17,168,0.36005914916369575,508620.0,-3053310.0,Dense trees,384,2016.0,Bullah Bullah
1990-08-10,222,0.5498158247323175,1991-02-18,49,0.5755795409399086,1991-09-14,257,0.5027599897238736,507960.0,-3053550.0,Dense trees,400,1991.0,Bullah Bullah
1998-07-15,196,0.49162255717447856,1999-01-23,23,0.5364687070900701,1999-08-03,215,0.47575351854557774,507960.0,-3053550.0,Dense trees,384,1999.0,Bullah Bullah
2000-02-11,42,0.4954888652777798,2000-08-21,234,0.5816033368110805,2001-04-02,92,0.5499150186064955,507960.0,-3053550.0,Dense trees,416,2000.0,Bullah Bullah
2008-02-17,48,0.3994987062274976,2008-09-12,256,0.42859817049242205,2009-03-23,82,0.4127828774382195,507960.0,-3053550.0,Dense trees,400,2008.0,Bullah Bullah
2010-06-30,181,0.5200574671766466,2011-01-08,8,0.7319345221212759,2011-07-19,200,0.6445026675089641,507960.0,-3053550.0,Dense trees,384,2011.0,Bullah Bullah
2016-05-29,150,0.5209609646498347,2016-12-07,342,0.5943727776032666,2017-06-17,168,0.5476797927889259,507960.0,-3053550.0,Dense trees,384,2016.0,Bullah Bullah
1990-11-14,318,0.41987403230743653,1991-04-07,97,0.4464079923864891,1991-10-16,289,0.3840930896406238,507990.0,-3053580.0,Dense trees,336,1991.0,Bullah Bullah
1998-07-15,196,0.4337142988681921,1999-01-23,23,0.4625316182549527,1999-08-03,215,0.396247291074047,507990.0,-3053580.0,Dense trees,384,1999.0,Bullah Bullah
2000-01-26,26,0.41060890898898544,2000-08-05,218,0.49680182188998795,2000-11-25,330,0.459037935429582,507990.0,-3053580.0,Dense trees,304,2000.0,Bullah Bullah
2010-06-30,181,0.4160330524310071,2011-01-08,8,0.6369062303849883,2011-08-04,216,0.5261172227247723,507990.0,-3053580.0,Dense trees,400,2011.0,Bullah Bullah
2016-06-14,166,0.3913364604039447,2016-12-23,358,0.4716042403776258,2017-07-19,200,0.4448094497766142,507990.0,-3053580.0,Dense trees,400,2016.0,Bullah Bullah
2018-06-04,155,0.40131990845812704,2018-12-13,347,0.4311660750174624,2019-06-07,158,0.4001619745946988,507990.0,-3053580.0,Dense trees,368,2018.0,Bullah Bullah
1990-06-23,174,0.65354633114205,1991-01-17,17,0.7064583446503451,1991-07-28,209,0.5885884128392296,508440.0,-3053700.0,Dense trees,400,1991.0,Bullah Bullah
1995-01-28,28,0.39854450254886625,1995-08-24,236,0.4965468664431648,1995-11-28,332,0.461985717978409,508440.0,-3053700.0,Dense trees,304,1995.0,Bullah Bullah
1998-06-29,180,0.5235656086280552,1999-01-23,23,0.5824003452644559,1999-08-03,215,0.5280500638682695,508440.0,-3053700.0,Dense trees,400,1999.0,Bullah Bullah
2000-07-20,202,0.6199319833292761,2001-02-13,44,0.652515996394947,2001-09-09,252,0.5746209635646388,508440.0,-3053700.0,Dense trees,416,2001.0,Bullah Bullah
2004-04-26,117,0.4841423911074553,2004-11-04,309,0.5371758435933364,2005-05-31,151,0.5073020912537369,508440.0,-3053700.0,Dense trees,400,2004.0,Bullah Bullah
2007-12-31,365,0.45011617228476053,2008-07-26,208,0.48519662373169664,2008-10-30,304,0.46065207297746186,508440.0,-3053700.0,Dense trees,304,2008.0,Bullah Bullah
2010-06-30,181,0.6295460702221307,2011-01-08,8,0.8093141990028607,2011-07-19,200,0.678645361840572,508440.0,-3053700.0,Dense trees,384,2011.0,Bullah Bullah
2016-04-27,118,0.5165597656610758,2016-11-21,326,0.5793787507379989,2017-06-17,168,0.5544235144948652,508440.0,-3053700.0,Dense trees,416,2016.0,Bullah Bullah
1990-07-25,206,0.5108778179763936,1991-02-02,33,0.5324467603384639,1991-08-13,225,0.4676841754134457,508440.0,-3053730.0,Dense trees,384,1991.0,Bullah Bullah
2000-01-10,10,0.5171464376566258,2000-08-05,218,0.5647580228533927,2001-03-17,76,0.5354831868205271,508440.0,-3053730.0,Dense trees,432,2000.0,Bullah Bullah
2004-01-21,21,0.42758907089673426,2004-06-13,165,0.4525085727918917,2004-12-22,357,0.4228805986466408,508440.0,-3053730.0,Dense trees,336,2004.0,Bullah Bullah
2008-02-17,48,0.3910362763274273,2008-09-12,256,0.48383107271515396,2009-03-23,82,0.45851721038669396,508440.0,-3053730.0,Dense trees,400,2008.0,Bullah Bullah
2010-06-30,181,0.4569882571697972,2011-01-08,8,0.6556715693179992,2011-07-19,200,0.5459981579659176,508440.0,-3053730.0,Dense trees,384,2011.0,Bullah Bullah
2016-04-11,102,0.4182229130427882,2016-10-20,294,0.5372153148087105,2017-04-30,120,0.46584712622207514,508440.0,-3053730.0,Dense trees,384,2016.0,Bullah Bullah
2010-08-01,213,0.41169322786468704,2011-02-09,40,0.5933430935510526,2011-08-20,232,0.5077104223082449,508380.0,-3053760.0,Dense trees,384,2011.0,Bullah Bullah
2016-04-27,118,0.3634628792812677,2016-11-05,310,0.4932496286403005,2017-03-29,88,0.4377022573409359,508380.0,-3053760.0,Dense trees,336,2016.0,Bullah Bullah
2000-01-26,26,0.3846324233547885,2000-08-05,218,0.5062401895933485,2001-03-01,60,0.4629955396423374,508440.0,-3053820.0,Dense trees,400,2000.0,Bullah Bullah
2010-06-30,181,0.45281144660925743,2011-01-08,8,0.6176127801648575,2011-07-19,200,0.5280074056531933,508440.0,-3053820.0,Dense trees,384,2011.0,Bullah Bullah
2016-05-29,150,0.4226001335810355,2016-12-07,342,0.47486618295295635,2017-06-17,168,0.43169936467790376,508440.0,-3053820.0,Dense trees,384,2016.0,Bullah Bullah
1990-11-30,334,0.48126944935657495,1991-05-09,129,0.5317981530514629,1991-11-17,321,0.44433095576305714,507540.0,-3055740.0,Dense trees,352,1991.0,Bullah Bullah
1992-08-31,244,0.4759723693729304,1993-03-27,86,0.5185346478965118,1993-10-21,294,0.457344833274482,507540.0,-3055740.0,Dense trees,416,1993.0,Bullah Bullah
1996-07-25,207,0.5968540522160284,1997-02-18,49,0.60990317037984,1997-08-29,241,0.546169986015948,507540.0,-3055740.0,Dense trees,400,1997.0,Bullah Bullah
1998-08-16,228,0.6022748172646016,1999-02-24,55,0.6634197040072636,1999-09-20,263,0.5987061577729776,507540.0,-3055740.0,Dense trees,400,1999.0,Bullah Bullah
2000-11-09,314,0.6365121363259103,2001-01-12,12,0.6566106104027367,2001-08-08,220,0.5378831337061976,507540.0,-3055740.0,Dense trees,272,2001.0,Bullah Bullah
2003-10-17,290,0.49806934297181005,2004-04-26,117,0.5218148219827168,2004-11-04,309,0.48903460910988306,507540.0,-3055740.0,Dense trees,384,2004.0,Bullah Bullah
2007-01-29,29,0.5163141773630449,2007-04-03,93,0.5380068919307243,2007-10-28,301,0.50402325592284,507540.0,-3055740.0,Dense trees,272,2007.0,Bullah Bullah
2008-02-17,48,0.5201434949919643,2008-09-12,256,0.5957272839908964,2008-11-15,320,0.5766237609076039,507540.0,-3055740.0,Dense trees,272,2008.0,Bullah Bullah
2010-08-01,213,0.5391155822095182,2011-01-24,24,0.7167947225555413,2011-08-20,232,0.6503830709429632,507540.0,-3055740.0,Dense trees,384,2011.0,Bullah Bullah
2015-02-20,51,0.5716588319161716,2015-05-11,131,0.5805048458170642,2015-11-19,323,0.5393083714908236,507540.0,-3055740.0,Dense trees,272,2015.0,Bullah Bullah
