SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1994-07-13,194,0.6016651300666012,1995-02-06,37,0.6543448469780195,1995-09-02,245,0.5943180330484211,677490.0,-2823720.0,Dense trees,416,1995.0,Bungera
1997-01-26,26,0.6469403507729149,1997-05-18,138,0.6824620743497034,1997-11-26,330,0.5930923994546942,677490.0,-2823720.0,Dense trees,304,1997.0,Bungera
1999-06-25,176,0.7119329713269976,2000-01-19,19,0.7655624845385294,2000-08-14,227,0.6718530003630145,677490.0,-2823720.0,Dense trees,416,2000.0,Bungera
2000-12-04,339,0.6390011669822793,2001-06-30,181,0.686157932707826,2001-10-04,277,0.6437027825121021,677490.0,-2823720.0,Dense trees,304,2001.0,Bungera
2004-02-15,46,0.5457884830322072,2004-09-10,254,0.5946825682659962,2005-04-06,96,0.5357785168229846,677490.0,-2823720.0,Dense trees,416,2004.0,Bungera
2006-08-15,227,0.5327154653399043,2007-02-23,54,0.61569137739054,2007-09-19,262,0.5725590542639536,677490.0,-2823720.0,Dense trees,400,2007.0,Bungera
2008-01-09,9,0.5802320479901139,2008-08-04,217,0.6429710431255118,2008-11-08,313,0.6062772031468904,677490.0,-2823720.0,Dense trees,304,2008.0,Bungera
2009-12-29,363,0.6437632831093256,2010-07-09,190,0.6739146706280272,2010-10-13,286,0.6443431819960342,677490.0,-2823720.0,Dense trees,288,2010.0,Bungera
2010-12-16,350,0.6467709228124744,2011-04-23,113,0.708326943428062,2011-11-01,305,0.6188520730307933,677490.0,-2823720.0,Dense trees,320,2011.0,Bungera
2012-07-30,212,0.6275274628499405,2013-02-23,54,0.6428096322046584,2013-09-19,262,0.6024499024315896,677490.0,-2823720.0,Dense trees,416,2013.0,Bungera
2016-07-25,207,0.5269526524118489,2017-02-02,33,0.6510545652751845,2017-08-13,225,0.5102008944909004,677490.0,-2823720.0,Dense trees,384,2017.0,Bungera
2019-12-09,343,0.538253226445821,2020-02-27,58,0.5668531858821194,2020-10-08,282,0.539824251345233,677490.0,-2823720.0,Dense trees,304,2020.0,Bungera
1994-07-13,194,0.49261477194292325,1995-02-06,37,0.5310813991232565,1995-08-17,229,0.45956195903057223,677460.0,-2823750.0,Dense trees,400,1995.0,Bungera
1997-01-26,26,0.5232163486608781,1997-05-02,122,0.5477649376140122,1997-11-26,330,0.4877010335869523,677460.0,-2823750.0,Dense trees,304,1997.0,Bungera
1999-12-02,336,0.5338471156258441,2000-03-07,67,0.571725095382752,2000-10-01,275,0.4997523398127349,677460.0,-2823750.0,Dense trees,304,2000.0,Bungera
2001-01-05,5,0.4920722058058077,2001-08-01,213,0.5377795636641872,2001-11-05,309,0.5116667021328207,677460.0,-2823750.0,Dense trees,304,2001.0,Bungera
2003-09-24,267,0.4810538293027388,2004-04-03,94,0.5221391520129736,2004-11-13,318,0.48995160475946287,677460.0,-2823750.0,Dense trees,416,2004.0,Bungera
