SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1990-10-21,294,0.5549830670676486,1991-02-10,41,0.6024879979012112,1991-09-06,249,0.5205220771053786,420810.0,-3023610.0,Dense trees,320,1991.0,Kudriemitchie
1998-09-25,268,0.5269238091318331,1999-04-05,95,0.6052791024704106,1999-10-14,287,0.5644437450607259,420810.0,-3023610.0,Dense trees,384,1999.0,Kudriemitchie
2003-12-12,346,0.5939069959875124,2004-05-20,141,0.6373657212169196,2004-11-28,333,0.5928131528303694,420810.0,-3023610.0,Dense trees,352,2004.0,Kudriemitchie
2007-08-01,213,0.5887484915770393,2008-02-25,56,0.6377891146531526,2008-09-20,264,0.5515453397037746,420810.0,-3023610.0,Dense trees,416,2008.0,Kudriemitchie
2010-08-25,237,0.6295491446232181,2011-02-17,48,0.7225308221628566,2011-08-28,240,0.6210639676650934,420810.0,-3023610.0,Dense trees,368,2011.0,Kudriemitchie
2011-12-18,352,0.569284926696689,2012-04-08,99,0.610676278748019,2012-11-02,307,0.5147602917404912,420810.0,-3023610.0,Dense trees,320,2012.0,Kudriemitchie
2016-10-28,302,0.7284394682780397,2017-05-08,128,0.7856102501296468,2017-10-31,304,0.733445167849204,420810.0,-3023610.0,Dense trees,368,2017.0,Kudriemitchie
2020-01-09,9,0.6415483977367761,2020-03-29,89,0.6639795795467897,2020-11-08,313,0.627817858901796,420810.0,-3023610.0,Dense trees,304,2020.0,Kudriemitchie
1990-08-18,230,0.6675447663680366,1991-02-10,41,0.7276023206100534,1991-08-21,233,0.617005314343007,420720.0,-3023640.0,Dense trees,368,1991.0,Kudriemitchie
1996-08-18,231,0.5905756527489144,1997-02-10,41,0.6370587112719269,1997-08-21,233,0.5658615109715005,420720.0,-3023640.0,Dense trees,368,1997.0,Kudriemitchie
1998-08-08,220,0.618022623868581,1999-02-16,47,0.6804648253535196,1999-08-27,239,0.604062693954562,420720.0,-3023640.0,Dense trees,384,1999.0,Kudriemitchie
2000-12-03,338,0.5978711441386672,2001-02-21,52,0.6190884205119435,2001-09-17,260,0.5417909781482002,420720.0,-3023640.0,Dense trees,288,2001.0,Kudriemitchie
2003-12-28,362,0.6049601057467652,2004-06-21,173,0.6536157919938095,2004-12-14,349,0.5769102243024558,420720.0,-3023640.0,Dense trees,352,2004.0,Kudriemitchie
2007-08-17,229,0.5713344903384252,2008-02-25,56,0.6315627982417141,2008-09-20,264,0.557599639031292,420720.0,-3023640.0,Dense trees,400,2008.0,Kudriemitchie
2010-07-24,205,0.6389965794944008,2011-02-01,32,0.7244491260610484,2011-08-28,240,0.656568432436669,420720.0,-3023640.0,Dense trees,400,2011.0,Kudriemitchie
2016-11-13,318,0.7717556042901743,2017-05-24,144,0.8197378367659909,2017-10-31,304,0.789301189604078,420720.0,-3023640.0,Dense trees,352,2017.0,Kudriemitchie
1990-09-03,246,0.5972349123587999,1991-03-14,73,0.7209076632318387,1991-09-06,249,0.5958427354780802,420750.0,-3023640.0,Dense trees,368,1991.0,Kudriemitchie
1995-01-20,20,0.5347850974103491,1995-08-16,228,0.6005253980644449,1995-11-20,324,0.5692072560058392,420750.0,-3023640.0,Dense trees,304,1995.0,Kudriemitchie
