SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,Waterhole,POS_year
1997-02-27,58,0.2389589646220124,1997-09-23,266,0.2832233736646134,1998-04-03,93,0.24891142188822507,579690.0,-2915370.0,Mid-dense trees,400,MulgaCorner,1997.0
1999-01-16,16,0.25220606120257216,1999-08-12,224,0.3123394839974847,1999-10-15,288,0.282983738841204,579690.0,-2915370.0,Mid-dense trees,272,MulgaCorner,1999.0
1999-12-18,352,0.3293235274596375,2000-07-13,195,0.4365450180138964,2000-10-17,291,0.3788322519247064,579690.0,-2915370.0,Mid-dense trees,304,MulgaCorner,2000.0
2010-07-09,190,0.5009139139779022,2011-02-02,33,0.6002919730142638,2011-08-29,241,0.48034156034117315,579690.0,-2915370.0,Mid-dense trees,416,MulgaCorner,2011.0
2016-06-07,159,0.2969442471535795,2016-12-16,351,0.34919756083303277,2017-06-26,177,0.3012585357990631,579690.0,-2915370.0,Mid-dense trees,384,MulgaCorner,2016.0
2020-01-26,26,0.2939246503711601,2020-04-15,106,0.3068712034247154,2020-11-09,314,0.2670639104411311,579690.0,-2915370.0,Mid-dense trees,288,MulgaCorner,2020.0
2000-01-03,3,0.2328574196312881,2000-07-13,195,0.3105035396152155,2000-11-18,323,0.27113795827451637,579480.0,-2915430.0,Mid-dense trees,320,MulgaCorner,2000.0
2010-05-06,126,0.3345271448289756,2010-11-14,318,0.5395915402760965,2011-05-09,129,0.40478588662909504,579480.0,-2915430.0,Mid-dense trees,368,MulgaCorner,2010.0
2016-05-06,127,0.2864283631632271,2016-11-30,335,0.3018134007277902,2017-06-26,177,0.27686292274775287,579480.0,-2915430.0,Mid-dense trees,416,MulgaCorner,2016.0
1990-08-03,215,0.2860389417197969,1991-02-11,42,0.33723291056957866,1991-08-22,234,0.2836789378856312,579570.0,-2915460.0,Mid-dense trees,384,MulgaCorner,1991.0
1997-02-11,42,0.24860160703213494,1997-09-07,250,0.28968307995666476,1998-03-18,77,0.2703974864133007,579570.0,-2915460.0,Mid-dense trees,400,MulgaCorner,1997.0
1999-11-16,320,0.32972194829956875,2000-06-11,163,0.38538489713291946,2000-10-01,275,0.3378435687821548,579570.0,-2915460.0,Mid-dense trees,320,MulgaCorner,2000.0
2004-01-14,14,0.2570548229976792,2004-06-06,158,0.2836098081563167,2004-12-15,350,0.24870904956349088,579570.0,-2915460.0,Mid-dense trees,336,MulgaCorner,2004.0
2007-12-24,358,0.26992364784954553,2008-04-14,105,0.278371006909014,2008-10-07,281,0.24126103532387902,579570.0,-2915460.0,Mid-dense trees,288,MulgaCorner,2008.0
2010-07-25,206,0.44838660824325355,2011-02-18,49,0.552981949660886,2011-08-29,241,0.454458173391413,579570.0,-2915460.0,Mid-dense trees,400,MulgaCorner,2011.0
2016-06-23,175,0.3125370658845348,2017-01-17,17,0.3506055144003897,2017-08-13,225,0.312673367281524,579570.0,-2915460.0,Mid-dense trees,416,MulgaCorner,2017.0
1995-09-02,245,0.29742317927539985,1996-03-12,72,0.32038220886368396,1996-10-06,280,0.29452163204694765,579630.0,-2915490.0,Mid-dense trees,400,MulgaCorner,1996.0
1997-01-10,10,0.2860658317588679,1997-08-06,218,0.31997184736510814,1998-01-29,29,0.266117389010895,579630.0,-2915490.0,Mid-dense trees,384,MulgaCorner,1997.0
2000-11-18,323,0.3542633266510565,2001-03-10,69,0.38099299751993754,2001-09-18,261,0.31507374595131055,579630.0,-2915490.0,Mid-dense trees,304,MulgaCorner,2001.0
2004-01-30,30,0.2972613662755246,2004-09-10,254,0.3153050005986786,2004-11-29,334,0.2989576384645584,579630.0,-2915490.0,Mid-dense trees,304,MulgaCorner,2004.0
2010-11-14,318,0.38021448015436005,2011-06-10,161,0.45354414777655533,2011-10-16,289,0.3830483291755904,579630.0,-2915490.0,Mid-dense trees,336,MulgaCorner,2011.0
2016-06-07,159,0.3436513292279441,2016-12-16,351,0.384651480547107,2017-07-12,193,0.36763172556234247,579630.0,-2915490.0,Mid-dense trees,400,MulgaCorner,2016.0
1990-10-22,295,0.26513528838671296,1991-02-11,42,0.28910265853768136,1991-09-07,250,0.2641120281303267,579810.0,-2915730.0,Mid-dense trees,320,MulgaCorner,1991.0
2000-02-04,35,0.2909742379703626,2000-08-30,243,0.3492222317235885,2001-03-26,85,0.3246399827423436,579810.0,-2915730.0,Mid-dense trees,416,MulgaCorner,2000.0
2004-03-18,78,0.26555166530768376,2004-10-12,286,0.2954286038129509,2005-01-16,16,0.2794171580154513,579810.0,-2915730.0,Mid-dense trees,304,MulgaCorner,2004.0
2008-01-25,25,0.25556228171477197,2008-08-20,233,0.29559922092607976,2009-02-28,59,0.2783978950321633,579810.0,-2915730.0,Mid-dense trees,400,MulgaCorner,2008.0
2010-06-23,174,0.4079698055674662,2011-01-17,17,0.4934041082398591,2011-08-13,225,0.38619681033897796,579810.0,-2915730.0,Mid-dense trees,416,MulgaCorner,2011.0
2013-11-22,326,0.3534011388993424,2014-04-15,105,0.3701092691734374,2014-10-24,297,0.33733063875801206,579810.0,-2915730.0,Mid-dense trees,336,MulgaCorner,2014.0
2015-06-21,172,0.3497710425702943,2016-01-15,15,0.3700035533080738,2016-08-10,223,0.35076185579144237,579810.0,-2915730.0,Mid-dense trees,416,MulgaCorner,2016.0
2019-04-29,119,0.32770485003193134,2019-11-07,311,0.36837053668719233,2020-06-02,154,0.3422821783707888,579810.0,-2915730.0,Mid-dense trees,400,MulgaCorner,2019.0
1999-12-18,352,0.26933276021560093,2000-07-13,195,0.35990971713308,2000-10-01,275,0.32427541255094616,579690.0,-2915760.0,Mid-dense trees,288,MulgaCorner,2000.0
2005-08-12,224,0.27287193301624807,2006-02-20,51,0.2817570588945257,2006-08-31,243,0.2705038431243549,579690.0,-2915760.0,Mid-dense trees,384,MulgaCorner,2006.0
2010-06-07,158,0.39609157620820207,2011-01-01,1,0.4956714030134702,2011-07-12,193,0.3951728672355126,579690.0,-2915760.0,Mid-dense trees,400,MulgaCorner,2011.0
2016-03-03,63,0.33124442328431164,2016-09-11,255,0.38444165704538175,2017-03-22,81,0.3590250828178109,579690.0,-2915760.0,Mid-dense trees,384,MulgaCorner,2016.0
1999-12-02,336,0.24397992688279077,2000-06-27,179,0.3144979017460525,2000-10-17,291,0.286604277270098,579720.0,-2915790.0,Mid-dense trees,320,MulgaCorner,2000.0
2010-06-23,174,0.3797921624690219,2011-01-17,17,0.45896849211043406,2011-07-28,209,0.37500901226864247,579720.0,-2915790.0,Mid-dense trees,400,MulgaCorner,2011.0
2016-01-15,15,0.3316934544477264,2016-07-25,207,0.3704069189142941,2016-10-29,303,0.3635350743383622,579720.0,-2915790.0,Mid-dense trees,288,MulgaCorner,2016.0
2000-01-03,3,0.28018466420988697,2000-07-13,195,0.34515430993938734,2000-11-18,323,0.32055078192310354,579750.0,-2915850.0,Mid-dense trees,320,MulgaCorner,2000.0
2005-05-08,128,0.29051837951111376,2005-07-27,208,0.29396581492189217,2006-02-20,51,0.2865111206953596,579750.0,-2915850.0,Mid-dense trees,288,MulgaCorner,2005.0
2010-07-09,190,0.38432972051356457,2011-01-17,17,0.4760005257238947,2011-08-13,225,0.3761879438832159,579750.0,-2915850.0,Mid-dense trees,400,MulgaCorner,2011.0
2014-01-09,9,0.33954228625117944,2014-05-01,121,0.36016037069622153,2014-11-09,313,0.32836929795243147,579750.0,-2915850.0,Mid-dense trees,304,MulgaCorner,2014.0
2016-01-31,31,0.3705139702932787,2016-08-10,223,0.4158259288431366,2017-02-18,49,0.3899790259852409,579750.0,-2915850.0,Mid-dense trees,384,MulgaCorner,2016.0
2019-08-03,215,0.31346459535394344,2020-02-11,42,0.3324460813982928,2020-09-06,250,0.29790494840195936,579750.0,-2915850.0,Mid-dense trees,400,MulgaCorner,2020.0
1993-06-24,175,0.2595827728814295,1994-01-18,18,0.2781291121740317,1994-07-29,210,0.2571735003031966,579870.0,-2915850.0,Mid-dense trees,400,MulgaCorner,1994.0
2000-01-19,19,0.2509561406496225,2000-08-14,227,0.312725507065234,2000-10-17,291,0.2920989001448309,579870.0,-2915850.0,Mid-dense trees,272,MulgaCorner,2000.0
2003-12-29,363,0.2651203302881008,2004-06-06,158,0.28991748888719,2004-12-15,350,0.27603457901788714,579870.0,-2915850.0,Mid-dense trees,352,MulgaCorner,2004.0
2010-07-09,190,0.40287930358388396,2011-01-17,17,0.49596647110395986,2011-08-13,225,0.39384488134146967,579870.0,-2915850.0,Mid-dense trees,400,MulgaCorner,2011.0
2013-10-21,294,0.34933443890940696,2014-04-15,105,0.363906163259798,2014-10-24,297,0.3253097794854922,579870.0,-2915850.0,Mid-dense trees,368,MulgaCorner,2014.0
2015-04-02,92,0.31472395985490137,2015-10-27,300,0.34013886130708004,2016-05-06,127,0.31108704644090984,579870.0,-2915850.0,Mid-dense trees,400,MulgaCorner,2015.0
2017-03-22,81,0.31257450247769875,2017-09-30,273,0.354996682936591,2018-02-21,52,0.33514154370871907,579870.0,-2915850.0,Mid-dense trees,336,MulgaCorner,2017.0
2019-05-15,135,0.2841471525943927,2019-11-23,327,0.3335189582299963,2020-06-02,154,0.30564474470788605,579870.0,-2915850.0,Mid-dense trees,384,MulgaCorner,2019.0
1999-12-02,336,0.272349602691947,2000-06-27,179,0.3159704742846874,2000-09-15,259,0.285401407149097,579780.0,-2915880.0,Mid-dense trees,288,MulgaCorner,2000.0
2004-01-30,30,0.2812262921435215,2004-06-22,174,0.30396345596689284,2004-12-31,366,0.2801668002177785,579780.0,-2915880.0,Mid-dense trees,336,MulgaCorner,2004.0
2010-07-09,190,0.3600528882456938,2011-02-02,33,0.42564638410658195,2011-08-29,241,0.32185502110137537,579780.0,-2915880.0,Mid-dense trees,416,MulgaCorner,2011.0
2013-10-21,294,0.34197037741567804,2014-05-01,121,0.36859416393848177,2014-10-24,297,0.33871445329297706,579780.0,-2915880.0,Mid-dense trees,368,MulgaCorner,2014.0
2015-07-07,188,0.3549212461704772,2016-01-31,31,0.376658538894476,2016-08-26,239,0.36926513488655593,579780.0,-2915880.0,Mid-dense trees,416,MulgaCorner,2016.0
2019-08-03,215,0.3011277117150694,2020-02-11,42,0.3339011612370247,2020-08-05,218,0.30457870598396164,579780.0,-2915880.0,Mid-dense trees,368,MulgaCorner,2020.0
2010-10-13,286,0.28279117995656605,2011-02-18,49,0.34976578945029996,2011-09-14,257,0.25929495386422846,579900.0,-2915910.0,Mid-dense trees,336,MulgaCorner,2011.0
1990-08-03,215,0.3065707058975628,1991-02-11,42,0.34040111661421174,1991-09-07,250,0.29900217661506145,579930.0,-2915940.0,Mid-dense trees,400,MulgaCorner,1991.0
1997-01-10,10,0.2899255139404048,1997-08-06,218,0.3225262036011543,1997-12-12,346,0.29613560211198614,579930.0,-2915940.0,Mid-dense trees,336,MulgaCorner,1997.0
2000-11-18,323,0.34546928192523574,2001-02-22,53,0.35737222006420005,2001-09-02,245,0.31132360637449985,579930.0,-2915940.0,Mid-dense trees,288,MulgaCorner,2001.0
2010-08-10,222,0.4291257823244928,2011-02-02,33,0.5167804334502709,2011-08-29,241,0.38864419397111316,579930.0,-2915940.0,Mid-dense trees,384,MulgaCorner,2011.0
2013-08-18,230,0.3858043912233296,2014-03-14,73,0.40301448794166495,2014-09-22,265,0.383562063241333,579930.0,-2915940.0,Mid-dense trees,400,MulgaCorner,2014.0
2016-11-14,319,0.3870103369920567,2017-06-10,161,0.41480296761256247,2017-11-17,321,0.3693906729337088,579930.0,-2915940.0,Mid-dense trees,368,MulgaCorner,2017.0
2010-07-09,190,0.32913702747740164,2011-01-17,17,0.3874666370744108,2011-08-13,225,0.2985727016102045,579960.0,-2916000.0,Mid-dense trees,400,MulgaCorner,2011.0
2013-10-05,278,0.25029510919035647,2014-04-15,105,0.2913983204509411,2014-10-24,297,0.23764039208113558,579960.0,-2916000.0,Mid-dense trees,384,MulgaCorner,2014.0
1990-10-22,295,0.34823181151066585,1991-02-11,42,0.3644748174690579,1991-09-07,250,0.31948872847297605,579990.0,-2916060.0,Mid-dense trees,320,MulgaCorner,1991.0
1997-01-26,26,0.31643675020596357,1997-08-22,234,0.3382311088972364,1997-10-09,282,0.3332175398200331,579990.0,-2916060.0,Mid-dense trees,256,MulgaCorner,1997.0
2000-01-19,19,0.3103942294104018,2000-08-14,227,0.37019951093351505,2001-02-22,53,0.3484066231106553,579990.0,-2916060.0,Mid-dense trees,400,MulgaCorner,2000.0
2010-06-07,158,0.471721118769199,2010-12-16,350,0.5888923743528319,2011-06-26,177,0.4759527208579911,579990.0,-2916060.0,Mid-dense trees,384,MulgaCorner,2010.0
2016-07-25,207,0.41945031691469625,2017-02-18,49,0.44446721935043304,2017-09-14,257,0.3863222083454773,579990.0,-2916060.0,Mid-dense trees,416,MulgaCorner,2017.0
1990-05-31,151,0.261306495243563,1990-12-09,343,0.307135320807809,1991-06-19,170,0.26877675849438126,579900.0,-2916120.0,Mid-dense trees,384,MulgaCorner,1990.0
2010-06-23,174,0.29802738815687635,2011-01-17,17,0.3687532339584469,2011-07-28,209,0.2712349653317203,579900.0,-2916120.0,Mid-dense trees,400,MulgaCorner,2011.0
2016-01-15,15,0.2776913458643173,2016-07-25,207,0.290321740834575,2017-02-18,49,0.27212002639911503,579900.0,-2916120.0,Mid-dense trees,400,MulgaCorner,2016.0
1996-12-09,344,0.2751895246442683,1997-07-21,202,0.303562135140242,1997-11-10,314,0.27661981065304453,580050.0,-2916270.0,Mid-dense trees,336,MulgaCorner,1997.0
2000-01-19,19,0.3353484967567093,2000-07-29,211,0.4171908087342106,2001-01-21,21,0.36296541613794653,580050.0,-2916270.0,Mid-dense trees,368,MulgaCorner,2000.0
2004-01-30,30,0.2715994437807307,2004-08-25,238,0.30364790910370576,2004-11-13,318,0.289447744874031,580050.0,-2916270.0,Mid-dense trees,288,MulgaCorner,2004.0
2010-05-06,126,0.42668173457647246,2010-11-14,318,0.5991164502691803,2011-05-25,145,0.454051799423392,580050.0,-2916270.0,Mid-dense trees,384,MulgaCorner,2010.0
2016-03-19,79,0.3514012350027338,2016-10-13,287,0.4123386421927853,2017-04-07,97,0.38179922603032146,580050.0,-2916270.0,Mid-dense trees,384,MulgaCorner,2016.0
2019-04-13,103,0.32722695278887987,2019-11-07,311,0.36803914756316597,2020-05-17,138,0.34149531837498154,580050.0,-2916270.0,Mid-dense trees,400,MulgaCorner,2019.0
1990-06-16,167,0.2864772371606485,1990-12-25,359,0.36348217194220755,1991-07-05,186,0.27746725836763847,579930.0,-2916300.0,Mid-dense trees,384,MulgaCorner,1990.0
2000-02-20,51,0.23643814057780038,2000-08-30,243,0.32358496897089317,2001-02-22,53,0.27476103056631584,579930.0,-2916300.0,Mid-dense trees,368,MulgaCorner,2000.0
2010-04-20,110,0.3382447471011089,2010-10-29,302,0.49313528663550465,2011-05-25,145,0.37548594216290376,579930.0,-2916300.0,Mid-dense trees,400,MulgaCorner,2010.0
2013-09-03,246,0.2794566949423431,2014-03-14,73,0.2994684691732325,2014-09-22,265,0.2649156823401048,579930.0,-2916300.0,Mid-dense trees,384,MulgaCorner,2014.0
2016-05-06,127,0.30679530639638064,2016-11-30,335,0.34176645945554435,2017-06-10,161,0.3094320889084575,579930.0,-2916300.0,Mid-dense trees,400,MulgaCorner,2016.0
1990-12-09,343,0.2314172632580483,1991-07-05,186,0.2784544388445336,1991-12-28,362,0.23461919679123894,580050.0,-2916300.0,Mid-dense trees,384,MulgaCorner,1991.0
1997-02-11,42,0.26218032576186723,1997-08-22,234,0.3032348808769114,1998-03-02,61,0.23972393597567598,580050.0,-2916300.0,Mid-dense trees,384,MulgaCorner,1997.0
2000-12-04,339,0.29254644219468,2001-03-26,85,0.31048913247499393,2001-10-04,277,0.2633587857320081,580050.0,-2916300.0,Mid-dense trees,304,MulgaCorner,2001.0
2010-08-10,222,0.3886202502179187,2011-02-02,33,0.47643489235746495,2011-08-29,241,0.37906205591728576,580050.0,-2916300.0,Mid-dense trees,384,MulgaCorner,2011.0
