SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
2000-03-07,67,0.37366035813374177,2000-10-01,275,0.4116757956186256,2001-04-27,117,0.3792106603974205,560850.0,-3052740.0,Dense trees,416,2000.0,Owwirree
2010-07-09,190,0.420242572663167,2011-01-17,17,0.5159791634709138,2011-07-28,209,0.43094794404902487,560850.0,-3052740.0,Dense trees,384,2011.0,Owwirree
2014-08-05,217,0.4039001551352774,2015-02-13,44,0.412904716154195,2015-09-09,252,0.3708107502224534,560850.0,-3052740.0,Dense trees,400,2015.0,Owwirree
2016-12-16,351,0.3265444834418075,2017-06-26,177,0.4168297424428135,2017-11-17,321,0.38694293658737666,560850.0,-3052740.0,Dense trees,336,2017.0,Owwirree
1995-01-21,21,0.3269914111253531,1995-08-17,229,0.36837058179514875,1995-11-21,325,0.3368604169331823,561210.0,-3052740.0,Dense trees,304,1995.0,Owwirree
1998-02-14,45,0.4316991174348328,1998-09-10,253,0.4695004423852685,1998-11-13,317,0.45818168644564156,561210.0,-3052740.0,Dense trees,272,1998.0,Owwirree
2000-01-03,3,0.4556986086499705,2000-07-29,211,0.4946224278932688,2000-11-18,323,0.4777514824591396,561210.0,-3052740.0,Dense trees,320,2000.0,Owwirree
2007-10-05,278,0.3998838853904907,2008-03-29,89,0.4326097684477611,2008-10-07,281,0.38861906140594554,561210.0,-3052740.0,Dense trees,368,2008.0,Owwirree
2010-06-23,174,0.49294656245588064,2011-01-17,17,0.5955779846561481,2011-07-28,209,0.5224434837955388,561210.0,-3052740.0,Dense trees,400,2011.0,Owwirree
2016-04-20,111,0.38485312842442454,2016-10-29,303,0.48532125134156123,2017-05-25,145,0.4261108275569801,561210.0,-3052740.0,Dense trees,400,2016.0,Owwirree
1997-01-10,10,0.38295294463594537,1997-03-15,74,0.40804111827562056,1997-10-09,282,0.3830193214774332,561900.0,-3053040.0,Dense trees,272,1997.0,Owwirree
1998-07-08,189,0.4769922623166791,1999-02-17,48,0.5081210818719478,1999-09-13,256,0.4546453838834066,561900.0,-3053040.0,Dense trees,432,1999.0,Owwirree
2000-01-19,19,0.46908426569569184,2000-08-14,227,0.5355015172018818,2001-03-10,69,0.5034209312014317,561900.0,-3053040.0,Dense trees,416,2000.0,Owwirree
2001-12-07,341,0.34706927856498276,2002-07-19,200,0.38055431239267556,2002-10-07,280,0.3541793424612253,561900.0,-3053040.0,Dense trees,304,2002.0,Owwirree
2005-03-05,64,0.33413556686637325,2005-09-29,272,0.3802030811926884,2006-04-09,99,0.35418716091855534,561900.0,-3053040.0,Dense trees,400,2005.0,Owwirree
2007-12-24,358,0.4097633037387459,2008-07-19,201,0.46237839255533025,2008-11-24,329,0.41580330235195584,561900.0,-3053040.0,Dense trees,336,2008.0,Owwirree
2010-06-23,174,0.4974958520780691,2011-01-01,1,0.623501454082824,2011-07-12,193,0.5674206221332908,561900.0,-3053040.0,Dense trees,384,2011.0,Owwirree
2016-04-20,111,0.49684666475327527,2016-10-29,303,0.5801680857004414,2017-05-25,145,0.51632366603324,561900.0,-3053040.0,Dense trees,400,2016.0,Owwirree
1990-06-16,167,0.38697083505786833,1991-01-10,10,0.41833154857970717,1991-07-21,202,0.3568629335172841,560820.0,-3053070.0,Dense trees,400,1991.0,Owwirree
1999-12-02,336,0.36471798322367466,2000-07-13,195,0.38469116867402914,2000-11-02,307,0.3684151707972296,560820.0,-3053070.0,Dense trees,336,2000.0,Owwirree
2010-06-23,174,0.4093885639110465,2011-01-17,17,0.4753689021613294,2011-07-28,209,0.4310355630476925,560820.0,-3053070.0,Dense trees,400,2011.0,Owwirree
2016-07-09,191,0.4272879867310549,2017-02-02,33,0.46441064353153866,2017-08-13,225,0.4109368526675843,560820.0,-3053070.0,Dense trees,400,2017.0,Owwirree
1996-12-25,360,0.38987122514000133,1997-08-06,218,0.42752048839716,1997-11-10,314,0.3901699343351095,562560.0,-3053250.0,Dense trees,320,1997.0,Owwirree
1998-11-29,333,0.41897371212465273,1999-05-24,144,0.4444048251396437,1999-12-02,336,0.40625910456763714,562560.0,-3053250.0,Dense trees,368,1999.0,Owwirree
2000-09-15,259,0.3805117031345724,2001-03-10,69,0.4481240488962027,2001-09-18,261,0.34520430430613663,562560.0,-3053250.0,Dense trees,368,2001.0,Owwirree
2005-02-17,48,0.3562619738489823,2005-07-27,208,0.3849621856729366,2006-02-04,35,0.3409748185223441,562560.0,-3053250.0,Dense trees,352,2005.0,Owwirree
2008-12-26,361,0.41194282655788145,2009-05-19,139,0.4464609847412992,2009-11-11,315,0.3590502496095775,562560.0,-3053250.0,Dense trees,320,2009.0,Owwirree
2010-06-23,174,0.4125814470960293,2011-01-01,1,0.5697416975930784,2011-06-26,177,0.4915502941096326,562560.0,-3053250.0,Dense trees,368,2011.0,Owwirree
2012-02-05,36,0.43414763873420925,2012-08-31,244,0.480417331512007,2013-01-06,6,0.44311163267451753,562560.0,-3053250.0,Dense trees,336,2012.0,Owwirree
2013-05-14,134,0.44623404084689117,2013-11-22,326,0.47746478571787315,2014-06-18,169,0.4490362185121143,562560.0,-3053250.0,Dense trees,400,2013.0,Owwirree
2016-07-09,191,0.4249277528487289,2017-02-02,33,0.4764847093560163,2017-08-13,225,0.4007894812070819,562560.0,-3053250.0,Dense trees,400,2017.0,Owwirree
1996-08-19,232,0.40360868486327706,1997-03-15,74,0.44841012223536864,1997-10-09,282,0.3907309263104243,562500.0,-3053310.0,Dense trees,416,1997.0,Owwirree
1998-07-08,189,0.5086557284663783,1999-02-01,32,0.5452293049563904,1999-08-28,240,0.4654267705595524,562500.0,-3053310.0,Dense trees,416,1999.0,Owwirree
2000-01-03,3,0.4640954684019636,2000-07-29,211,0.5251005643983228,2000-10-01,275,0.496345895253103,562500.0,-3053310.0,Dense trees,272,2000.0,Owwirree
2008-01-09,9,0.4444369124927889,2008-08-04,217,0.4958919019756567,2008-10-23,297,0.4476918187191333,562500.0,-3053310.0,Dense trees,288,2008.0,Owwirree
2010-07-09,190,0.4778683958192219,2011-01-17,17,0.6582838202607447,2011-07-28,209,0.581054987701262,562500.0,-3053310.0,Dense trees,384,2011.0,Owwirree
2016-06-07,159,0.4826978507621245,2017-01-01,1,0.544769358569085,2017-07-12,193,0.4616791995886862,562500.0,-3053310.0,Dense trees,400,2017.0,Owwirree
1997-01-26,26,0.3817742453739627,1997-08-22,234,0.44224002621334557,1997-10-25,298,0.4135379709616294,562350.0,-3053340.0,Dense trees,272,1997.0,Owwirree
1998-12-15,349,0.4746144068066179,1999-02-17,48,0.5010805058329039,1999-09-13,256,0.450132629486468,562350.0,-3053340.0,Dense trees,272,1999.0,Owwirree
2000-01-03,3,0.45718139062602886,2000-07-29,211,0.5297963699624866,2001-02-22,53,0.47462023745445686,562350.0,-3053340.0,Dense trees,416,2000.0,Owwirree
2001-12-07,341,0.3295748189735003,2002-07-19,200,0.3670341282506551,2002-10-07,280,0.34432810709780487,562350.0,-3053340.0,Dense trees,304,2002.0,Owwirree
2008-01-09,9,0.43734517347347435,2008-08-04,217,0.48430235206658834,2008-10-07,281,0.4575819684934967,562350.0,-3053340.0,Dense trees,272,2008.0,Owwirree
2010-07-09,190,0.4688426858210793,2011-01-17,17,0.6158180612019603,2011-07-28,209,0.5241296558853169,562350.0,-3053340.0,Dense trees,384,2011.0,Owwirree
2013-08-18,230,0.4794540953954531,2014-02-26,57,0.49514983274756713,2014-09-22,265,0.47143184768815943,562350.0,-3053340.0,Dense trees,400,2014.0,Owwirree
2016-04-04,95,0.4844240312165506,2016-10-13,287,0.5819314420823823,2017-04-23,113,0.5236685935873964,562350.0,-3053340.0,Dense trees,384,2016.0,Owwirree
1997-01-10,10,0.3149408800009062,1997-08-06,218,0.36505449458609834,1997-10-25,298,0.3438608474316045,562470.0,-3053370.0,Dense trees,288,1997.0,Owwirree
2006-08-31,243,0.3497473487088212,2007-03-11,70,0.3828601377758651,2007-10-05,278,0.356626034669834,562470.0,-3053370.0,Dense trees,400,2007.0,Owwirree
2010-05-06,126,0.33318333374208065,2010-11-14,318,0.40329757027116414,2011-05-25,145,0.3750011964205849,562470.0,-3053370.0,Dense trees,384,2010.0,Owwirree
2013-11-06,310,0.3751146100702838,2014-06-18,169,0.3896506445605381,2015-01-12,12,0.36608990119792023,562470.0,-3053370.0,Dense trees,432,2014.0,Owwirree
2018-02-21,52,0.34595178962795997,2018-06-13,164,0.37713748259875457,2019-01-07,7,0.339941652543052,562470.0,-3053370.0,Dense trees,320,2018.0,Owwirree
2019-04-29,119,0.3571294116892622,2019-11-07,311,0.40478676278655107,2020-06-02,154,0.3748012527507521,562470.0,-3053370.0,Dense trees,400,2019.0,Owwirree
1990-08-03,215,0.32244195825356925,1991-02-11,42,0.3750738276612919,1991-08-22,234,0.2988934835262644,560370.0,-3053460.0,Dense trees,384,1991.0,Owwirree
2000-10-01,275,0.3188303123504603,2001-03-26,85,0.3647827391901674,2001-10-04,277,0.29422713798228844,560370.0,-3053460.0,Dense trees,368,2001.0,Owwirree
2010-12-16,350,0.4101376753231671,2011-07-12,193,0.44374183851100546,2012-01-04,4,0.3667427899393461,560370.0,-3053460.0,Dense trees,384,2011.0,Owwirree
2013-10-05,278,0.3856227377119831,2014-05-01,121,0.4110054981487074,2014-11-25,329,0.40155653657444734,560370.0,-3053460.0,Dense trees,416,2014.0,Owwirree
2016-12-16,351,0.3413941262594554,2017-06-26,177,0.43228790548894225,2017-11-17,321,0.4003348777596306,560370.0,-3053460.0,Dense trees,336,2017.0,Owwirree
2000-01-19,19,0.3624507654469714,2000-08-14,227,0.4207334015913736,2000-11-02,307,0.3998086946696383,560160.0,-3053580.0,Dense trees,288,2000.0,Owwirree
2010-06-07,158,0.4533493586870558,2011-01-01,1,0.5522840334207657,2011-07-28,209,0.46332489422875756,560160.0,-3053580.0,Dense trees,416,2011.0,Owwirree
2016-05-22,143,0.34388016299852986,2016-11-30,335,0.3998179900570152,2017-06-26,177,0.37088828968357146,560160.0,-3053580.0,Dense trees,400,2016.0,Owwirree
