SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,Waterhole,POS_year
1996-12-25,360,0.30518588685680953,1997-03-31,90,0.34364309159259937,1997-10-25,298,0.30176770136206127,597990.0,-2858820.0,Mid-dense trees,304,Yalungah,1997.0
2000-01-03,3,0.36139302259376127,2000-07-13,195,0.4001327056443676,2000-10-17,291,0.3773160312139865,597990.0,-2858820.0,Mid-dense trees,288,Yalungah,2000.0
2007-12-08,342,0.3065325929338859,2008-04-14,105,0.34309275832021324,2008-10-23,297,0.27840263822947736,597990.0,-2858820.0,Mid-dense trees,320,Yalungah,2008.0
2010-07-09,190,0.4786514334186497,2011-02-02,33,0.5491872421450438,2011-08-13,225,0.435069315658551,597990.0,-2858820.0,Mid-dense trees,400,Yalungah,2011.0
2013-12-24,358,0.36773872287367154,2014-07-20,201,0.3837568003288427,2015-02-13,44,0.3625102667138807,597990.0,-2858820.0,Mid-dense trees,416,Yalungah,2014.0
2016-05-22,143,0.3755959379444653,2016-12-16,351,0.41825703344677184,2017-06-26,177,0.364682266503166,597990.0,-2858820.0,Mid-dense trees,400,Yalungah,2016.0
2019-01-07,7,0.2988283203553621,2019-05-15,135,0.34097523174622707,2019-12-09,343,0.2944016348695698,597990.0,-2858820.0,Mid-dense trees,336,Yalungah,2019.0
1989-12-22,356,0.37445290519432994,1990-07-02,183,0.4242969092324474,1991-01-26,26,0.3810664803269571,597840.0,-2859180.0,Mid-dense trees,400,Yalungah,1990.0
1995-01-05,5,0.3098833443122757,1995-08-01,213,0.3634507477691223,1995-12-23,357,0.3130462610795999,597840.0,-2859180.0,Mid-dense trees,352,Yalungah,1995.0
1999-12-18,352,0.28652009868284634,2000-07-13,195,0.37246474928799395,2000-10-17,291,0.3412485217556978,597840.0,-2859180.0,Mid-dense trees,304,Yalungah,2000.0
2010-05-22,142,0.4639333459664131,2010-12-16,350,0.5847266518317237,2011-07-12,193,0.4484573692412435,597840.0,-2859180.0,Mid-dense trees,416,Yalungah,2010.0
2013-12-24,358,0.44337464833226803,2014-08-05,217,0.47922039905325536,2015-03-17,76,0.4564680022075236,597840.0,-2859180.0,Mid-dense trees,448,Yalungah,2014.0
2016-05-06,127,0.44354721600785885,2016-11-30,335,0.5176980598663016,2017-06-10,161,0.45640730115355094,597840.0,-2859180.0,Mid-dense trees,400,Yalungah,2016.0
2010-11-14,318,0.33703922078095294,2011-03-06,65,0.3683983732830618,2011-09-14,257,0.30370708132420476,597990.0,-2859240.0,Mid-dense trees,304,Yalungah,2011.0
2012-03-08,68,0.2989126323342935,2012-09-16,260,0.35061278443763527,2013-02-07,38,0.3342323036588852,597990.0,-2859240.0,Mid-dense trees,336,Yalungah,2012.0
2017-04-07,97,0.3157017217904054,2017-11-01,305,0.3496688904398704,2018-05-28,148,0.329961103736332,597990.0,-2859240.0,Mid-dense trees,416,Yalungah,2017.0
1999-12-02,336,0.3150398496833983,2000-06-27,179,0.37247841953571287,2000-10-17,291,0.3312099908219704,597810.0,-2859270.0,Mid-dense trees,320,Yalungah,2000.0
2010-05-22,142,0.4222700383102532,2010-12-16,350,0.5047005086947283,2011-07-12,193,0.38242990865854043,597810.0,-2859270.0,Mid-dense trees,416,Yalungah,2010.0
2014-01-09,9,0.36519038090295974,2014-08-21,233,0.3821817048687368,2014-12-11,345,0.37153766407270433,597810.0,-2859270.0,Mid-dense trees,336,Yalungah,2014.0
2016-05-22,143,0.3911895294569045,2016-12-16,351,0.4365211668049393,2017-07-12,193,0.4330540369472369,597810.0,-2859270.0,Mid-dense trees,416,Yalungah,2016.0
1997-01-26,26,0.28384936002220446,1997-08-22,234,0.3361140916461212,1997-12-28,362,0.31636073381278584,597780.0,-2859330.0,Mid-dense trees,336,Yalungah,1997.0
1999-12-18,352,0.2953492215323453,2000-07-13,195,0.37411013702504675,2000-10-17,291,0.34005672612025173,597780.0,-2859330.0,Mid-dense trees,304,Yalungah,2000.0
2010-07-09,190,0.43289537704391934,2011-02-02,33,0.4972661184275103,2011-08-29,241,0.40719591330634003,597780.0,-2859330.0,Mid-dense trees,416,Yalungah,2011.0
2013-07-01,182,0.35879091745871283,2014-01-25,25,0.38822656432896996,2014-09-06,249,0.38109048178989724,597780.0,-2859330.0,Mid-dense trees,432,Yalungah,2014.0
2016-03-03,63,0.3609953657410482,2016-09-11,255,0.4477404091681254,2017-03-06,65,0.4364477252628471,597780.0,-2859330.0,Mid-dense trees,368,Yalungah,2016.0
2019-03-12,71,0.3256759171363453,2019-10-06,279,0.3812580333851765,2020-04-15,106,0.336585853659988,597780.0,-2859330.0,Mid-dense trees,400,Yalungah,2019.0
2000-01-03,3,0.2936695025523976,2000-07-29,211,0.3668725347789942,2001-01-05,5,0.324940100468067,597750.0,-2859360.0,Mid-dense trees,368,Yalungah,2000.0
2010-07-09,190,0.42742698496465326,2011-02-02,33,0.47293608257190045,2011-08-29,241,0.374947698874065,597750.0,-2859360.0,Mid-dense trees,416,Yalungah,2011.0
2014-01-09,9,0.34484445632180666,2014-02-26,57,0.3514513247476545,2014-09-22,265,0.3355458749264007,597750.0,-2859360.0,Mid-dense trees,256,Yalungah,2014.0
2016-07-25,207,0.3862434904426805,2017-02-18,49,0.42219891722388625,2017-08-13,225,0.3862370410734425,597750.0,-2859360.0,Mid-dense trees,384,Yalungah,2017.0
1990-05-15,135,0.3168048640644453,1990-12-09,343,0.34236126746286577,1991-05-18,138,0.30037820897566003,597840.0,-2859480.0,Mid-dense trees,368,Yalungah,1990.0
2010-08-10,222,0.3271033549428191,2011-03-06,65,0.3778535442286335,2011-08-29,241,0.3369621934949746,597840.0,-2859480.0,Mid-dense trees,384,Yalungah,2011.0
2013-04-28,118,0.36689847801718395,2013-06-15,166,0.3687584998459608,2013-12-24,358,0.351630181023509,597840.0,-2859480.0,Mid-dense trees,240,Yalungah,2013.0
2017-04-23,113,0.35055905381819,2017-11-17,321,0.3848308872701787,2018-03-09,68,0.3690410096559084,597840.0,-2859480.0,Mid-dense trees,320,Yalungah,2017.0
1990-06-16,167,0.38142050576160286,1991-01-10,10,0.41483751960493087,1991-08-06,218,0.36724975823846717,597810.0,-2859540.0,Mid-dense trees,416,Yalungah,1991.0
1999-11-16,320,0.3491148815851793,2000-03-07,67,0.3809754744175581,2000-10-01,275,0.34960499203913376,597810.0,-2859540.0,Mid-dense trees,320,Yalungah,2000.0
2006-08-15,227,0.3211061490796252,2007-02-07,38,0.3425310055704107,2007-09-03,246,0.3136627274305363,597810.0,-2859540.0,Mid-dense trees,384,Yalungah,2007.0
2010-08-10,222,0.42174748383815625,2011-03-06,65,0.4617231731784268,2011-09-14,257,0.41820871904597057,597810.0,-2859540.0,Mid-dense trees,400,Yalungah,2011.0
2017-04-23,113,0.4126078583739781,2017-11-01,305,0.43976971816782884,2018-06-13,164,0.4306215559681466,597810.0,-2859540.0,Mid-dense trees,416,Yalungah,2017.0
1989-12-22,356,0.37595817744806553,1990-07-18,199,0.41705039154939066,1991-02-11,42,0.38963653486274585,597600.0,-2859570.0,Mid-dense trees,416,Yalungah,1990.0
2000-01-03,3,0.2994311515614716,2000-07-13,195,0.36750651596637424,2001-01-21,21,0.33413987787939753,597600.0,-2859570.0,Mid-dense trees,384,Yalungah,2000.0
2010-05-22,142,0.4428526242657163,2010-12-16,350,0.5446045111703547,2011-06-26,177,0.43550712112549345,597600.0,-2859570.0,Mid-dense trees,400,Yalungah,2010.0
2012-02-21,52,0.33805808627743583,2012-09-16,260,0.36532234581872913,2013-03-11,70,0.3334026214109508,597600.0,-2859570.0,Mid-dense trees,384,Yalungah,2012.0
2014-11-25,329,0.32944397557005795,2015-03-01,60,0.34167938555079375,2015-09-09,252,0.3072882141860657,597600.0,-2859570.0,Mid-dense trees,288,Yalungah,2015.0
2016-04-20,111,0.3715659259551266,2016-10-29,303,0.44212435426454066,2017-05-25,145,0.3984373037654618,597600.0,-2859570.0,Mid-dense trees,400,Yalungah,2016.0
2019-03-12,71,0.29714897433913706,2019-10-06,279,0.33760527779427235,2020-04-15,106,0.31511270970959443,597600.0,-2859570.0,Mid-dense trees,400,Yalungah,2019.0
1990-09-20,263,0.3123596199395873,1991-03-31,90,0.39023999298414713,1991-09-23,266,0.32732283064820183,597780.0,-2859570.0,Mid-dense trees,368,Yalungah,1991.0
1995-08-01,213,0.3335217625091032,1996-02-25,56,0.34162048119345784,1996-09-20,264,0.30715559713344903,597780.0,-2859570.0,Mid-dense trees,416,Yalungah,1996.0
2000-11-02,307,0.3320998081741505,2001-03-26,85,0.3542803434675251,2001-10-04,277,0.29082161735880174,597780.0,-2859570.0,Mid-dense trees,336,Yalungah,2001.0
2005-03-05,64,0.3294674712174549,2005-07-11,192,0.3343758882938309,2006-01-19,19,0.2954598134434407,597780.0,-2859570.0,Mid-dense trees,320,Yalungah,2005.0
2010-07-25,206,0.3830339704961989,2011-02-02,33,0.4764293866902699,2011-08-29,241,0.39983059963733325,597780.0,-2859570.0,Mid-dense trees,400,Yalungah,2011.0
2013-03-27,86,0.3703033760150142,2013-10-21,294,0.4231985146857833,2014-01-25,25,0.40270978206975117,597780.0,-2859570.0,Mid-dense trees,304,Yalungah,2013.0
2016-12-16,351,0.3772838643375611,2017-06-26,177,0.43898388519833587,2017-11-17,321,0.41033803203191466,597780.0,-2859570.0,Mid-dense trees,336,Yalungah,2017.0
2019-05-15,135,0.3557354297326817,2019-11-23,327,0.4049377693104328,2020-06-18,170,0.37770360132232816,597780.0,-2859570.0,Mid-dense trees,400,Yalungah,2019.0
1999-12-18,352,0.2960072045535862,2000-06-27,179,0.34203964966519307,2000-10-01,275,0.3195190805386138,597600.0,-2859600.0,Mid-dense trees,288,Yalungah,2000.0
2010-06-23,174,0.4282126168966043,2011-01-17,17,0.48985917734005835,2011-08-13,225,0.39633817038387953,597600.0,-2859600.0,Mid-dense trees,416,Yalungah,2011.0
2014-01-25,25,0.3672245420586432,2014-08-21,233,0.3979057556077204,2014-10-24,297,0.3779479546950183,597600.0,-2859600.0,Mid-dense trees,272,Yalungah,2014.0
2016-08-26,239,0.4541495928563636,2017-03-22,81,0.4956911283820574,2017-08-29,241,0.4289951513415122,597600.0,-2859600.0,Mid-dense trees,368,Yalungah,2017.0
1992-12-30,365,0.32234175290521355,1993-07-10,191,0.3614319395648742,1993-11-15,319,0.33722120521593646,597600.0,-2859630.0,Mid-dense trees,320,Yalungah,1993.0
2005-04-22,112,0.31504554231810733,2005-10-31,304,0.3500154132927749,2006-04-25,115,0.3285636538668487,597600.0,-2859630.0,Mid-dense trees,368,Yalungah,2005.0
2010-06-23,174,0.4311084565092077,2011-01-17,17,0.4761673372119056,2011-08-13,225,0.4024846738908255,597600.0,-2859630.0,Mid-dense trees,416,Yalungah,2011.0
2013-08-02,214,0.4511531544445301,2014-02-26,57,0.47809843400025,2014-09-22,265,0.436196365949649,597600.0,-2859630.0,Mid-dense trees,416,Yalungah,2014.0
2016-07-25,207,0.4560911158084052,2017-02-18,49,0.5188983039715167,2017-08-29,241,0.4749724490839977,597600.0,-2859630.0,Mid-dense trees,400,Yalungah,2017.0
2000-01-03,3,0.32461093402523683,2000-07-13,195,0.4099720828203998,2000-11-18,323,0.3731378071831474,597570.0,-2859660.0,Mid-dense trees,320,Yalungah,2000.0
2007-07-01,182,0.32525087726574686,2008-01-25,25,0.3542573219289723,2008-08-20,233,0.2971126229639546,597570.0,-2859660.0,Mid-dense trees,416,Yalungah,2008.0
2010-05-22,142,0.4748542929606212,2010-12-16,350,0.6038581853424997,2011-06-26,177,0.5017148141573863,597570.0,-2859660.0,Mid-dense trees,400,Yalungah,2010.0
2016-06-23,175,0.3862753680488423,2017-01-01,1,0.44331060463613786,2017-07-12,193,0.38918102024670725,597570.0,-2859660.0,Mid-dense trees,384,Yalungah,2017.0
1990-08-03,215,0.37048141850010297,1991-01-26,26,0.4691622938704977,1991-08-06,218,0.3913383172729693,597600.0,-2859660.0,Mid-dense trees,368,Yalungah,1991.0
1995-08-01,213,0.3855927622909345,1996-02-25,56,0.40312375201693373,1996-09-04,248,0.371700969325484,597600.0,-2859660.0,Mid-dense trees,400,Yalungah,1996.0
1997-12-12,346,0.387318455413237,1998-03-02,61,0.4017533956248074,1998-09-26,269,0.36873923098120553,597600.0,-2859660.0,Mid-dense trees,288,Yalungah,1998.0
1999-09-29,272,0.41182288785788956,2000-02-20,51,0.4444889989226886,2000-08-30,243,0.38528476360884606,597600.0,-2859660.0,Mid-dense trees,336,Yalungah,2000.0
2004-12-15,350,0.365734171676865,2005-07-11,192,0.38433603581483505,2006-01-03,3,0.3565208567361594,597600.0,-2859660.0,Mid-dense trees,384,Yalungah,2005.0
2010-06-23,174,0.4976114539986232,2011-01-01,1,0.5931325557584309,2011-07-28,209,0.47800663843404034,597600.0,-2859660.0,Mid-dense trees,400,Yalungah,2011.0
2013-07-17,198,0.4701240642761364,2014-02-10,41,0.5180097903361082,2014-09-06,249,0.4860233235333317,597600.0,-2859660.0,Mid-dense trees,416,Yalungah,2014.0
2016-04-04,95,0.4882724099192546,2016-10-29,303,0.5547373156425395,2017-05-25,145,0.5194724706078744,597600.0,-2859660.0,Mid-dense trees,416,Yalungah,2016.0
1990-08-03,215,0.28876606232293195,1991-02-11,42,0.4278354948581339,1991-08-22,234,0.3600767665852702,597600.0,-2859690.0,Mid-dense trees,384,Yalungah,1991.0
1996-12-09,344,0.3856949150643744,1997-02-27,58,0.40706883231289354,1997-09-23,266,0.35609067874854844,597600.0,-2859690.0,Mid-dense trees,288,Yalungah,1997.0
1999-12-02,336,0.40505284339698705,2000-06-27,179,0.44460554230468513,2000-10-01,275,0.4136084195046233,597600.0,-2859690.0,Mid-dense trees,304,Yalungah,2000.0
2003-12-29,363,0.35083058242331794,2004-04-03,94,0.35671419797722237,2004-10-12,286,0.33815519773327846,597600.0,-2859690.0,Mid-dense trees,288,Yalungah,2004.0
2007-12-24,358,0.3108993748453427,2008-08-04,217,0.35027469889671214,2008-11-24,329,0.3109183856537696,597600.0,-2859690.0,Mid-dense trees,336,Yalungah,2008.0
2010-07-09,190,0.4849780081958335,2011-01-17,17,0.5583550784585586,2011-08-13,225,0.4428896829379448,597600.0,-2859690.0,Mid-dense trees,400,Yalungah,2011.0
2013-09-03,246,0.45516080629084493,2014-03-30,89,0.47988645063411833,2014-10-24,297,0.45792397511288707,597600.0,-2859690.0,Mid-dense trees,416,Yalungah,2014.0
2016-03-19,79,0.4442477817777783,2016-09-27,271,0.5461789944668355,2017-04-07,97,0.49597808765384765,597600.0,-2859690.0,Mid-dense trees,384,Yalungah,2016.0
2010-07-25,206,0.3551930595471092,2011-01-17,17,0.40256014731251316,2011-07-28,209,0.3390843425811809,597720.0,-2859720.0,Mid-dense trees,368,Yalungah,2011.0
2013-02-23,54,0.3199152402159499,2013-09-03,246,0.3566938986202125,2014-02-10,41,0.32926475752938117,597720.0,-2859720.0,Mid-dense trees,352,Yalungah,2013.0
