SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1990-01-23,23,0.39816432830107884,1990-02-24,55,0.42844979777595443,1990-07-18,199,0.39990508833410565,673950.0,-2836950.0,Dense trees,176,1990.0,Arning
1990-10-22,295,0.39888749621774755,1991-01-10,10,0.42613571252088667,1991-01-26,26,0.3824096495637948,673950.0,-2836950.0,Dense trees,96,1991.0,Arning
1996-01-08,8,0.4386602785483572,1996-03-28,88,0.4684006004614956,1996-09-20,264,0.4237016040497742,673950.0,-2836950.0,Dense trees,256,1996.0,Arning
1997-12-28,362,0.44846393587502,1998-07-24,205,0.4949604070347622,1998-10-12,285,0.44901153144307493,673950.0,-2836950.0,Dense trees,288,1998.0,Arning
2000-02-04,35,0.44658446032856114,2000-08-30,243,0.4828661063944479,2000-12-04,339,0.3925344669562164,673950.0,-2836950.0,Dense trees,304,2000.0,Arning
2001-02-22,53,0.4007784902636199,2001-03-10,69,0.41740616504384853,2001-09-02,245,0.3674606859274129,673950.0,-2836950.0,Dense trees,192,2001.0,Arning
2010-02-15,46,0.42055774262456447,2010-08-26,238,0.43515542911756777,2010-10-13,286,0.24125980828326743,673950.0,-2836950.0,Dense trees,240,2010.0,Arning
2012-03-24,84,0.39201506717107504,2012-11-03,308,0.4710859811619647,2013-01-06,6,0.4326502305766997,673950.0,-2836950.0,Dense trees,288,2012.0,Arning
2013-03-11,70,0.46421815715295245,2013-03-11,70,0.46421815715295245,2013-07-17,198,0.42229887053223936,673950.0,-2836950.0,Dense trees,128,2013.0,Arning
2014-04-15,105,0.45174066605034496,2014-10-24,297,0.48687955910816416,2014-11-09,313,0.46128249249529585,673950.0,-2836950.0,Dense trees,208,2014.0,Arning
2016-01-15,15,0.35941246496652923,2016-02-16,47,0.41556399836793634,2016-06-23,175,0.35978061272722456,673950.0,-2836950.0,Dense trees,160,2016.0,Arning
2017-03-06,65,0.4222376623480136,2017-09-30,273,0.47405096641206135,2017-11-01,305,0.4178107103408856,673950.0,-2836950.0,Dense trees,240,2017.0,Arning
2017-12-19,353,0.3888287821448151,2018-02-05,36,0.4304153688950133,2018-06-13,164,0.39345129081999103,673950.0,-2836950.0,Dense trees,176,2018.0,Arning
1995-12-23,357,0.410730960910005,1996-07-02,184,0.46575430448836147,1997-01-26,26,0.3486064030801166,673800.0,-2837040.0,Dense trees,400,1996.0,Arning
1997-03-15,74,0.3303349049566019,1997-03-31,90,0.4017746673706429,1997-08-22,234,0.3181371916384022,673800.0,-2837040.0,Dense trees,160,1997.0,Arning
1998-02-14,45,0.36478414079166277,1998-08-25,237,0.4838270492311244,1999-02-17,48,0.3641728795833796,673800.0,-2837040.0,Dense trees,368,1998.0,Arning
1999-04-22,112,0.36514080209705124,1999-05-08,128,0.39737440467012286,1999-08-28,240,0.350107034663278,673800.0,-2837040.0,Dense trees,128,1999.0,Arning
2001-08-01,213,0.3643534294685366,2001-11-05,309,0.3898167571295166,2001-11-21,325,0.3554293603287042,673800.0,-2837040.0,Dense trees,112,2001.0,Arning
2005-09-29,272,0.35750719447111917,2006-01-19,19,0.38995618190839526,2006-02-20,51,0.3378950575025649,673800.0,-2837040.0,Dense trees,144,2006.0,Arning
2008-05-16,137,0.4103093851887631,2008-12-26,361,0.4309774896474577,2009-01-11,11,0.4119269028305239,673800.0,-2837040.0,Dense trees,240,2008.0,Arning
2012-03-08,68,0.4090083147017267,2012-05-11,132,0.44298870096923615,2012-10-18,292,0.41421374349591183,673800.0,-2837040.0,Dense trees,224,2012.0,Arning
2014-04-15,105,0.4713484563692665,2014-11-09,313,0.5067565381764836,2014-11-25,329,0.4450683471271435,673800.0,-2837040.0,Dense trees,224,2014.0,Arning
2015-01-12,12,0.43140774292065437,2015-02-13,44,0.4823783390088773,2015-07-07,188,0.4343744854740197,673800.0,-2837040.0,Dense trees,176,2015.0,Arning
2016-01-15,15,0.3794314501104227,2016-03-03,63,0.4259840446698759,2016-07-09,191,0.38810275745962247,673800.0,-2837040.0,Dense trees,176,2016.0,Arning
2017-06-10,161,0.43442357246973895,2018-01-04,4,0.4798811006996295,2018-06-13,164,0.43956364827184435,673800.0,-2837040.0,Dense trees,368,2018.0,Arning
1990-01-07,7,0.06022027708392285,1990-01-23,23,0.08458777468324238,1990-07-02,183,0.05952081407701832,673770.0,-2837130.0,Dense trees,176,1990.0,Arning
1990-10-06,279,0.06264643820047036,1991-02-11,42,0.1092906985287109,1991-03-31,90,-0.02544473089482592,673770.0,-2837130.0,Dense trees,176,1991.0,Arning
1992-05-04,125,-0.020078462851208043,1992-11-12,317,0.11414847078961858,1993-02-16,47,0.045180041568562465,673770.0,-2837130.0,Dense trees,288,1992.0,Arning
1994-10-01,274,0.04734535622762815,1995-04-11,101,0.17309195914072104,1995-05-29,149,0.04675732112756331,673770.0,-2837130.0,Dense trees,240,1995.0,Arning
1995-08-01,213,0.002098677239390792,1995-09-18,261,0.08316457241849107,1996-01-08,8,0.01012263696518772,673770.0,-2837130.0,Dense trees,160,1995.0,Arning
1998-04-19,109,-0.08449031241026987,1998-10-12,285,0.10852763957646623,1998-12-31,365,-0.24690832621810063,673770.0,-2837130.0,Dense trees,256,1998.0,Arning
2003-01-27,27,-0.07107739990849625,2003-08-07,219,0.13326392001405407,2003-12-13,347,0.10734778695132852,673770.0,-2837130.0,Dense trees,320,2003.0,Arning
2007-08-02,214,0.15734719842570669,2008-03-13,73,0.22941431525513067,2008-06-01,153,0.17429553733735803,673770.0,-2837130.0,Dense trees,304,2008.0,Arning
2009-09-08,251,0.15971233795915601,2010-01-30,30,0.21084882714439823,2010-04-04,94,-0.0729256307218207,673770.0,-2837130.0,Dense trees,208,2010.0,Arning
2010-06-07,158,-0.10717602893170465,2010-07-09,190,0.06351072127695866,2010-10-29,302,-0.09642326343017399,673770.0,-2837130.0,Dense trees,144,2010.0,Arning
2011-08-13,225,-0.03721059361227833,2012-02-21,52,0.12926320707996145,2012-03-24,84,0.08168153701761649,673770.0,-2837130.0,Dense trees,224,2012.0,Arning
2012-06-12,164,0.07909674850070408,2012-07-30,212,0.1180149791804552,2012-11-03,308,0.07731937593244943,673770.0,-2837130.0,Dense trees,144,2012.0,Arning
