SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1994-03-30,89,0.3650859569186875,1994-10-24,297,0.40353586089340615,1995-02-13,44,0.3088270475712197,508830.0,-3053220.0,Dense trees,320,1994.0,Bullah Bullah
1995-04-18,108,0.34388408734282583,1995-05-04,124,0.3555851494827698,1995-08-24,236,0.2588752888939082,508830.0,-3053220.0,Dense trees,128,1995.0,Bullah Bullah
1997-09-14,257,0.36581087943760554,1998-04-10,100,0.41982751342259994,1998-05-12,132,0.36900500842213435,508830.0,-3053220.0,Dense trees,240,1998.0,Bullah Bullah
1998-07-15,196,0.3407256800538887,1998-09-01,244,0.3700837702850145,1998-12-22,356,0.3359010946089398,508830.0,-3053220.0,Dense trees,160,1998.0,Bullah Bullah
1999-08-19,231,0.36979225601308197,2000-02-27,58,0.45345889014330876,2000-03-30,90,0.31752634865766144,508830.0,-3053220.0,Dense trees,224,2000.0,Bullah Bullah
2000-05-17,138,0.28497895368133574,2000-07-20,202,0.3526776643893425,2000-11-09,314,0.2902151989699756,508830.0,-3053220.0,Dense trees,176,2000.0,Bullah Bullah
2001-05-20,140,0.27557500367830307,2001-08-24,236,0.3145225073911692,2001-10-11,284,0.24564125588033048,508830.0,-3053220.0,Dense trees,144,2001.0,Bullah Bullah
2001-12-30,364,0.23785522621188676,2002-01-31,31,0.2853858789141114,2002-05-23,143,0.22251172119174872,508830.0,-3053220.0,Dense trees,144,2002.0,Bullah Bullah
2008-09-28,272,0.27153326955436924,2009-04-24,114,0.30500364481194064,2009-11-02,306,0.26980916562368135,508830.0,-3053220.0,Dense trees,400,2009.0,Bullah Bullah
2011-03-13,72,0.3274966810022026,2011-09-05,248,0.4009441981732273,2012-01-11,11,0.36276923943746453,508830.0,-3053220.0,Dense trees,304,2011.0,Bullah Bullah
2012-02-28,59,0.38251026099102975,2012-03-15,75,0.39804452515456473,2012-08-06,219,0.27924675130717524,508830.0,-3053220.0,Dense trees,160,2012.0,Bullah Bullah
2012-11-26,331,0.24024476352842708,2013-01-13,13,0.265465719763979,2013-04-03,93,0.2306751223106434,508830.0,-3053220.0,Dense trees,128,2013.0,Bullah Bullah
2017-01-08,8,0.23660335433185903,2017-07-19,200,0.2901070778661825,2017-09-05,248,0.2383268345479903,508830.0,-3053220.0,Dense trees,240,2017.0,Bullah Bullah
2020-03-05,65,0.28747336711664806,2020-09-29,273,0.2999451451165335,2020-11-16,321,0.24870224337288147,508830.0,-3053220.0,Dense trees,256,2020.0,Bullah Bullah
1990-04-04,94,0.5553731890774611,1990-04-20,110,0.5917635026695476,1990-08-26,238,0.5555581321605214,508950.0,-3053250.0,Dense trees,144,1990.0,Bullah Bullah
1992-01-20,20,0.5234771842602313,1992-03-24,84,0.5363888855310595,1992-06-12,164,0.5112930725958567,508950.0,-3053250.0,Dense trees,144,1992.0,Bullah Bullah
1997-03-22,81,0.6080630973157178,1997-10-16,289,0.6507249530059046,1997-12-19,353,0.6058896517734822,508950.0,-3053250.0,Dense trees,272,1997.0,Bullah Bullah
1998-02-21,52,0.628394926829916,1998-03-09,68,0.6375206847161939,1998-04-10,100,0.5729999030239181,508950.0,-3053250.0,Dense trees,48,1998.0,Bullah Bullah
