SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,Waterhole,POS_year
1990-04-29,119,0.356699118136231,1990-05-31,151,0.3920596994180399,1990-12-25,359,0.3514413406183727,579690.0,-2915370.0,Mid-dense trees,240,MulgaCorner,1990.0
2000-09-15,259,0.32123941655608385,2001-04-11,101,0.39556501760618434,2001-10-20,293,0.26762571887359954,579690.0,-2915370.0,Mid-dense trees,400,MulgaCorner,2001.0
2002-01-08,8,0.2628717800920799,2002-01-24,24,0.294070794463132,2002-05-16,136,0.24748785302639553,579690.0,-2915370.0,Mid-dense trees,128,MulgaCorner,2002.0
2011-03-06,65,0.4347131603927527,2011-09-14,257,0.574579581363063,2011-11-17,321,0.4461785853403082,579690.0,-2915370.0,Mid-dense trees,256,MulgaCorner,2011.0
2012-02-05,36,0.44191674364486844,2012-02-21,52,0.5142164205786086,2012-06-12,164,0.41992539131724094,579690.0,-2915370.0,Mid-dense trees,128,MulgaCorner,2012.0
2013-03-11,70,0.3479901687118234,2013-04-12,102,0.3788930323211057,2013-10-05,278,0.30470406424100993,579690.0,-2915370.0,Mid-dense trees,208,MulgaCorner,2013.0
2016-12-16,351,0.23697460446428184,2017-06-10,161,0.30986405264490696,2017-12-19,353,0.24967522829358846,579690.0,-2915370.0,Mid-dense trees,368,MulgaCorner,2017.0
2018-03-25,84,0.21814262769342685,2018-04-10,100,0.24909459581948323,2018-09-01,244,0.21676340541635467,579690.0,-2915370.0,Mid-dense trees,160,MulgaCorner,2018.0
1997-09-23,266,0.17856262809244974,1998-04-19,109,0.19879300282572596,1998-09-10,253,0.1776784323482059,579480.0,-2915430.0,Mid-dense trees,352,MulgaCorner,1998.0
2000-11-02,307,0.22296235399944034,2001-05-29,149,0.25867608525322927,2001-11-21,325,0.18291483639869038,579480.0,-2915430.0,Mid-dense trees,384,MulgaCorner,2001.0
2010-11-30,334,0.26334929274510677,2011-06-10,161,0.43572592717041014,2011-12-19,353,0.26887436566318723,579480.0,-2915430.0,Mid-dense trees,384,MulgaCorner,2011.0
2012-02-21,52,0.24520754354206825,2012-03-24,84,0.3052437724695021,2012-07-14,196,0.2465155325803199,579480.0,-2915430.0,Mid-dense trees,144,MulgaCorner,2012.0
2016-10-13,287,0.23140322620902928,2017-04-23,113,0.26831298305677925,2017-11-17,321,0.2396180622825431,579480.0,-2915430.0,Mid-dense trees,400,MulgaCorner,2017.0
1990-06-16,167,0.2677674034995833,1990-07-02,183,0.30508863283378357,1990-11-07,311,0.24822875934499514,579570.0,-2915460.0,Mid-dense trees,144,MulgaCorner,1990.0
1991-03-15,74,0.24557626653295792,1991-09-07,250,0.3086902117530497,1991-10-09,282,0.26457455620999165,579570.0,-2915460.0,Mid-dense trees,208,MulgaCorner,1991.0
2000-09-15,259,0.29414117513760774,2001-04-11,101,0.3251398386771332,2001-11-05,309,0.27302883501673947,579570.0,-2915460.0,Mid-dense trees,416,MulgaCorner,2001.0
2007-02-23,54,0.2122008492542946,2007-08-18,230,0.2576003302225633,2007-10-21,294,0.24245283122516914,579570.0,-2915460.0,Mid-dense trees,240,MulgaCorner,2007.0
2011-03-06,65,0.40149040022948607,2011-09-14,257,0.5268540233228667,2011-12-03,337,0.38832307794757676,579570.0,-2915460.0,Mid-dense trees,272,MulgaCorner,2011.0
2012-02-05,36,0.37126121709658855,2012-02-21,52,0.4666905183621886,2012-06-28,180,0.3565281849469603,579570.0,-2915460.0,Mid-dense trees,144,MulgaCorner,2012.0
2015-03-17,76,0.2314596912317093,2015-04-18,108,0.27587890739220117,2015-08-24,236,0.23360249820783469,579570.0,-2915460.0,Mid-dense trees,160,MulgaCorner,2015.0
2017-02-02,33,0.26782811758590797,2017-08-29,241,0.31687501203078017,2018-02-21,52,0.25052772651278976,579570.0,-2915460.0,Mid-dense trees,384,MulgaCorner,2017.0
2018-04-10,100,0.2595126243408939,2018-04-26,116,0.2767953373755394,2018-09-01,244,0.2446650738315538,579570.0,-2915460.0,Mid-dense trees,144,MulgaCorner,2018.0
1990-07-18,199,0.22623418044735938,1990-08-03,215,0.2734939527459315,1990-12-25,359,0.19270637055017337,579630.0,-2915490.0,Mid-dense trees,160,MulgaCorner,1990.0
1992-03-01,61,0.24722182769162826,1992-04-18,109,0.2683670075888479,1992-09-25,269,0.22121509921753335,579630.0,-2915490.0,Mid-dense trees,208,MulgaCorner,1992.0
1996-04-13,104,0.26226886948994205,1996-10-22,296,0.2866609569408039,1996-11-07,312,0.2602067936471413,579630.0,-2915490.0,Mid-dense trees,208,MulgaCorner,1996.0
1997-09-23,266,0.2572564720439733,1998-01-13,13,0.29002804396544873,1998-08-09,221,0.215946100461459,579630.0,-2915490.0,Mid-dense trees,320,MulgaCorner,1998.0
2001-02-22,53,0.33181856853514097,2001-09-18,261,0.3551653564294615,2001-11-21,325,0.27912808124591826,579630.0,-2915490.0,Mid-dense trees,272,MulgaCorner,2001.0
2002-01-24,24,0.2633032312937709,2002-02-25,56,0.31840098190152283,2002-06-17,168,0.2619850276926614,579630.0,-2915490.0,Mid-dense trees,144,MulgaCorner,2002.0
2004-11-13,318,0.2607891246271982,2005-06-09,160,0.2760809993113976,2005-09-13,256,0.26220791645527486,579630.0,-2915490.0,Mid-dense trees,304,MulgaCorner,2005.0
2009-09-24,267,0.26529029995602527,2009-11-11,315,0.27610635840509756,2009-12-29,363,0.15060920894028546,579630.0,-2915490.0,Mid-dense trees,96,MulgaCorner,2009.0
2011-03-06,65,0.23884981690281307,2011-09-14,257,0.44360937308714726,2011-12-03,337,0.3504487849256701,579630.0,-2915490.0,Mid-dense trees,272,MulgaCorner,2011.0
2012-01-20,20,0.33921807932658454,2012-02-21,52,0.41657672526434625,2012-06-12,164,0.3328900126859142,579630.0,-2915490.0,Mid-dense trees,144,MulgaCorner,2012.0
2012-11-19,324,0.331051478153717,2013-05-30,150,0.3679823826904795,2013-12-24,358,0.34233242248234297,579630.0,-2915490.0,Mid-dense trees,400,MulgaCorner,2013.0
2017-02-18,49,0.32630896684817484,2017-08-29,241,0.3678222676298679,2018-01-20,20,0.3283760198274345,579630.0,-2915490.0,Mid-dense trees,336,MulgaCorner,2017.0
1991-05-18,138,0.2228494164028616,1991-09-07,250,0.2523857288683496,1991-10-09,282,0.22672820482402736,579810.0,-2915730.0,Mid-dense trees,144,MulgaCorner,1991.0
2000-11-18,323,0.2614900282266328,2001-05-29,149,0.3192428249838287,2001-12-07,341,0.22639497787405033,579810.0,-2915730.0,Mid-dense trees,384,MulgaCorner,2001.0
2002-02-09,40,0.21585748573656655,2002-03-13,72,0.25524621197039743,2002-07-03,184,0.2155566624982483,579810.0,-2915730.0,Mid-dense trees,144,MulgaCorner,2002.0
2004-11-13,318,0.24109460959324286,2005-06-09,160,0.26411927971437993,2005-09-13,256,0.2501770284999195,579810.0,-2915730.0,Mid-dense trees,304,MulgaCorner,2005.0
2008-11-08,313,0.2341942243686982,2009-05-19,139,0.2613925331721644,2009-10-10,283,0.23339936778605663,579810.0,-2915730.0,Mid-dense trees,336,MulgaCorner,2009.0
2011-02-18,49,0.36614747739145614,2011-08-29,241,0.4540278383751768,2011-11-01,305,0.31914890932561124,579810.0,-2915730.0,Mid-dense trees,256,MulgaCorner,2011.0
2012-01-20,20,0.32005537930094463,2012-02-21,52,0.37919574669866024,2012-05-27,148,0.30617913300760646,579810.0,-2915730.0,Mid-dense trees,128,MulgaCorner,2012.0
2014-05-01,121,0.32793919305783537,2014-11-09,313,0.34558201292034557,2014-12-11,345,0.3073125508475727,579810.0,-2915730.0,Mid-dense trees,224,MulgaCorner,2014.0
2015-02-13,44,0.29237607973467084,2015-03-01,60,0.3247855563537381,2015-07-23,204,0.28554103063838787,579810.0,-2915730.0,Mid-dense trees,160,MulgaCorner,2015.0
2015-12-30,364,0.3038340402450999,2016-07-09,191,0.3480966263021998,2017-02-18,49,0.30454464501767214,579810.0,-2915730.0,Mid-dense trees,416,MulgaCorner,2016.0
2000-09-15,259,0.23496243769695743,2001-03-26,85,0.30167728018798934,2001-11-05,309,0.23205066926983317,579690.0,-2915760.0,Mid-dense trees,416,MulgaCorner,2001.0
2006-03-08,67,0.2395217060234417,2006-09-16,259,0.25735096043192446,2006-11-03,307,0.24390424433418445,579690.0,-2915760.0,Mid-dense trees,240,MulgaCorner,2006.0
2011-01-17,17,0.3552648299274997,2011-08-13,225,0.4745285277199035,2011-10-16,289,0.34026018296070765,579690.0,-2915760.0,Mid-dense trees,272,MulgaCorner,2011.0
