SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1990-02-24,55,0.4423247557197202,1990-09-20,263,0.4823455316433214,1991-03-31,90,0.4483028583084696,673950.0,-2836950.0,Dense trees,400,1990.0,Arning
1999-05-24,144,0.48842451393211034,1999-12-02,336,0.5147728368044192,2000-06-27,179,0.48835146827224457,673950.0,-2836950.0,Dense trees,400,1999.0,Arning
2010-07-25,206,0.5243117659091554,2011-02-18,49,0.5566848783360542,2011-08-29,241,0.5170376023065246,673950.0,-2836950.0,Dense trees,400,2011.0,Arning
2013-11-22,326,0.5044607288282624,2014-03-14,73,0.5318521460118828,2014-10-08,281,0.5064486988704252,673950.0,-2836950.0,Dense trees,320,2014.0,Arning
2016-07-25,207,0.4910525562468938,2017-02-18,49,0.5275377374049584,2017-08-29,241,0.4644648523310463,673950.0,-2836950.0,Dense trees,400,2017.0,Arning
1995-04-11,101,0.45325901496422366,1995-10-20,293,0.5146620650859991,1996-05-31,152,0.4944484152717132,673800.0,-2837040.0,Dense trees,416,1995.0,Arning
1997-05-02,122,0.39600030578178774,1997-11-10,314,0.46131488161093315,1998-06-22,173,0.4529904326999197,673800.0,-2837040.0,Dense trees,416,1997.0,Arning
2000-08-14,227,0.44948217611137453,2001-02-22,53,0.50129238329759,2001-09-18,261,0.4391204134898239,673800.0,-2837040.0,Dense trees,400,2001.0,Arning
2009-02-28,59,0.46328564748221723,2009-10-10,283,0.48048983760473013,2010-05-06,126,0.4669107368599453,673800.0,-2837040.0,Dense trees,432,2009.0,Arning
2011-02-18,49,0.4569831049312942,2011-08-29,241,0.4973266484836426,2012-01-04,4,0.4744388373864774,673800.0,-2837040.0,Dense trees,320,2011.0,Arning
2013-09-03,246,0.5309389730254254,2014-03-30,89,0.5526530927372563,2014-10-24,297,0.49101642073440427,673800.0,-2837040.0,Dense trees,416,2014.0,Arning
2016-10-29,303,0.495337619010818,2017-05-25,145,0.5469485612873574,2017-10-16,289,0.5089632355641827,673800.0,-2837040.0,Dense trees,352,2017.0,Arning
1997-10-25,298,0.5361300066657481,1998-03-18,77,0.5501373996271034,1998-10-12,285,0.5354459478039725,673860.0,-2837160.0,Dense trees,352,1998.0,Arning
2005-02-17,48,0.4696998906487948,2005-09-13,256,0.519618562896728,2006-01-19,19,0.494911850451187,673860.0,-2837160.0,Dense trees,336,2005.0,Arning
2008-02-10,41,0.4996625906749876,2008-06-01,153,0.5300816666673511,2008-12-26,361,0.49581460000996863,673860.0,-2837160.0,Dense trees,320,2008.0,Arning
2011-01-01,1,0.5447964598470872,2011-07-28,209,0.5842719312415819,2012-02-05,36,0.5593725763867491,673860.0,-2837160.0,Dense trees,400,2011.0,Arning
2015-01-12,12,0.4984874926153741,2015-08-08,220,0.5472181320621162,2015-11-28,332,0.5110553753734243,673860.0,-2837160.0,Dense trees,320,2015.0,Arning
2016-10-29,303,0.590827021494227,2017-05-25,145,0.6504678210721199,2017-09-30,273,0.6117558822556391,673860.0,-2837160.0,Dense trees,336,2017.0,Arning
1990-07-02,183,0.5858848618185395,1990-12-25,359,0.6140661447812445,1991-07-05,186,0.5269736473409986,673830.0,-2837190.0,Dense trees,368,1990.0,Arning
1993-06-24,175,0.46753452640899346,1994-02-03,34,0.4839904190599023,1994-08-14,226,0.45435994569152743,673830.0,-2837190.0,Dense trees,416,1994.0,Arning
