SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1990-07-02,183,0.43136763635338476,1991-01-10,10,0.4651829058551527,1991-07-21,202,0.4131494719104035,587820.0,-2958960.0,Dense trees,384,1991.0,Ergelear
1996-01-24,24,0.3769531647902319,1996-03-28,88,0.3908042167909784,1996-10-22,296,0.36101071277910396,587820.0,-2958960.0,Dense trees,272,1996.0,Ergelear
1999-12-18,352,0.38901565118235343,2000-06-27,179,0.45663679729241147,2001-01-21,21,0.4233974937326676,587820.0,-2958960.0,Dense trees,400,2000.0,Ergelear
2003-11-27,331,0.3779752077986028,2004-05-21,142,0.42467603594052955,2004-11-13,318,0.3812440344710896,587820.0,-2958960.0,Dense trees,352,2004.0,Ergelear
2010-05-22,142,0.459081757146126,2010-11-30,334,0.6293332098853693,2011-06-10,161,0.5325261629716178,587820.0,-2958960.0,Dense trees,384,2010.0,Ergelear
2013-08-18,230,0.46628557643700075,2014-03-14,73,0.4928908252449913,2014-10-08,281,0.4684882059386882,587820.0,-2958960.0,Dense trees,416,2014.0,Ergelear
2016-02-16,47,0.4672229779955497,2016-09-11,255,0.5500524326900688,2017-03-22,81,0.48942137671122776,587820.0,-2958960.0,Dense trees,400,2016.0,Ergelear
2019-08-19,231,0.46747061487750685,2020-02-27,58,0.48915065232091426,2020-10-08,282,0.4607688685444275,587820.0,-2958960.0,Dense trees,416,2020.0,Ergelear
2010-08-10,222,0.27461286789088957,2011-02-02,33,0.3561096772456764,2011-08-13,225,0.22647535298068414,587790.0,-2959080.0,Dense trees,368,2011.0,Ergelear
2012-02-05,36,0.22460257487121355,2012-08-15,228,0.3418889000798627,2012-11-03,308,0.3105047094267336,587790.0,-2959080.0,Dense trees,272,2012.0,Ergelear
1990-08-03,215,0.36710118370657474,1991-02-27,58,0.3828414404600304,1991-09-23,266,0.35139742287490006,587850.0,-2959080.0,Dense trees,416,1991.0,Ergelear
1998-01-13,13,0.3266657512994698,1998-08-09,221,0.34412316984949676,1999-03-05,64,0.33032256862793413,587850.0,-2959080.0,Dense trees,416,1998.0,Ergelear
1999-12-18,352,0.32800794643187997,2000-06-27,179,0.39151263424548705,2000-11-02,307,0.3636129628535879,587850.0,-2959080.0,Dense trees,320,2000.0,Ergelear
2003-09-08,251,0.31757906827383764,2004-03-02,62,0.3608795003048506,2004-10-12,286,0.33251588615892796,587850.0,-2959080.0,Dense trees,400,2004.0,Ergelear
2010-05-22,142,0.42094100096284637,2010-11-30,334,0.5925870114571818,2011-06-10,161,0.48456537468175076,587850.0,-2959080.0,Dense trees,384,2010.0,Ergelear
2013-08-02,214,0.406834308830506,2014-02-26,57,0.42534139124555775,2014-09-22,265,0.41581567608822473,587850.0,-2959080.0,Dense trees,416,2014.0,Ergelear
2016-02-16,47,0.41355128972888244,2016-09-11,255,0.5203665288839943,2017-03-06,65,0.4422046127194933,587850.0,-2959080.0,Dense trees,384,2016.0,Ergelear
2018-08-16,228,0.3951922035247369,2019-03-12,71,0.40231867941251853,2019-09-20,263,0.3865185926731662,587850.0,-2959080.0,Dense trees,400,2019.0,Ergelear
1990-07-18,199,0.3187349069769509,1991-02-11,42,0.33102710756386433,1991-09-07,250,0.2825429796897819,586860.0,-2957190.0,Mid-dense trees,416,1991.0,Ergelear
1999-12-02,336,0.2956368756635399,2000-06-27,179,0.36521144464057537,2000-11-02,307,0.3080625811702222,586860.0,-2957190.0,Mid-dense trees,336,2000.0,Ergelear
2010-06-23,174,0.5052557469869414,2011-01-17,17,0.6741300778486441,2011-07-28,209,0.5112150676372756,586860.0,-2957190.0,Mid-dense trees,400,2011.0,Ergelear
2016-06-23,175,0.3273718439951438,2017-01-01,1,0.37715533832236103,2017-07-12,193,0.329842212359336,586860.0,-2957190.0,Mid-dense trees,384,2017.0,Ergelear
2019-04-13,103,0.30204366573871494,2019-11-07,311,0.3529466628850531,2020-05-17,138,0.32780545061161775,586860.0,-2957190.0,Mid-dense trees,400,2019.0,Ergelear
1999-12-02,336,0.2885466751214534,2000-06-27,179,0.34508803459956117,2000-10-01,275,0.30093595786522115,587010.0,-2957310.0,Mid-dense trees,304,2000.0,Ergelear
2010-05-06,126,0.3404551257159061,2010-11-14,318,0.4607284187118835,2011-05-25,145,0.4049300786947245,587010.0,-2957310.0,Mid-dense trees,384,2010.0,Ergelear
2016-06-23,175,0.2842324784178786,2017-01-01,1,0.32820993920852026,2017-07-12,193,0.3108929712234121,587010.0,-2957310.0,Mid-dense trees,384,2017.0,Ergelear
2019-04-29,119,0.28827174101435316,2019-11-07,311,0.3174586928819766,2020-06-02,154,0.2833611123942073,587010.0,-2957310.0,Mid-dense trees,400,2019.0,Ergelear
1990-07-18,199,0.36656882245207345,1991-02-11,42,0.3863529419304788,1991-09-07,250,0.34341606029598887,586890.0,-2957370.0,Mid-dense trees,416,1991.0,Ergelear
1997-05-02,122,0.33372559963246956,1997-11-10,314,0.37941155922630426,1998-06-06,157,0.3553345983644019,586890.0,-2957370.0,Mid-dense trees,400,1997.0,Ergelear
2000-12-04,339,0.3691267374411292,2001-03-10,69,0.3899954330373519,2001-09-18,261,0.31275304552930444,586890.0,-2957370.0,Mid-dense trees,288,2001.0,Ergelear
2004-04-03,94,0.2835386134951346,2004-10-12,286,0.3209294044169701,2005-04-22,112,0.3125289433983056,586890.0,-2957370.0,Mid-dense trees,384,2004.0,Ergelear
2006-09-16,259,0.3048174628638642,2007-03-27,86,0.3222036566648942,2007-10-21,294,0.27184110280914675,586890.0,-2957370.0,Mid-dense trees,400,2007.0,Ergelear
2010-08-10,222,0.41919479647760666,2011-03-06,65,0.47514178619230424,2011-09-14,257,0.3995173418200369,586890.0,-2957370.0,Mid-dense trees,400,2011.0,Ergelear
2013-02-07,38,0.3788341411179023,2013-09-19,262,0.39175932968150345,2014-05-01,121,0.3798752208297716,586890.0,-2957370.0,Mid-dense trees,448,2013.0,Ergelear
2016-09-27,271,0.35581028547479343,2017-04-23,113,0.3952222649598322,2017-09-30,273,0.3547716087658916,586890.0,-2957370.0,Mid-dense trees,368,2017.0,Ergelear
1997-05-18,138,0.2808179508463116,1997-11-26,330,0.3326329665994301,1998-05-21,141,0.290301215413303,586980.0,-2957370.0,Mid-dense trees,368,1997.0,Ergelear
2000-01-03,3,0.30465094850654156,2000-07-29,211,0.3476736214742528,2000-10-17,291,0.3329565683569868,586980.0,-2957370.0,Mid-dense trees,288,2000.0,Ergelear
2003-12-29,363,0.3179101527963938,2004-04-19,110,0.33583468143273426,2004-10-28,302,0.30443967874413896,586980.0,-2957370.0,Mid-dense trees,304,2004.0,Ergelear
2010-04-04,94,0.3479268723381383,2010-10-13,286,0.4091290162616945,2011-05-09,129,0.39615672660698753,586980.0,-2957370.0,Mid-dense trees,400,2010.0,Ergelear
2013-11-22,326,0.3513939200715386,2014-04-15,105,0.3756915277783829,2014-10-24,297,0.33850394976101494,586980.0,-2957370.0,Mid-dense trees,336,2014.0,Ergelear
2018-03-25,84,0.3773848010234567,2018-11-04,308,0.39499126432011805,2019-05-31,151,0.3886040044013325,586980.0,-2957370.0,Mid-dense trees,432,2018.0,Ergelear
2010-03-19,78,0.3000429017477037,2010-09-27,270,0.38555566018622656,2011-04-07,97,0.34773706999351406,586980.0,-2957400.0,Mid-dense trees,384,2010.0,Ergelear
2013-02-23,54,0.2814553484376126,2013-09-03,246,0.3357690878043634,2014-02-10,41,0.3209443085542127,586980.0,-2957400.0,Mid-dense trees,352,2013.0,Ergelear
2015-05-20,140,0.2748238318953807,2015-12-14,348,0.31418854640331484,2016-06-07,159,0.268463565216916,586980.0,-2957400.0,Mid-dense trees,384,2015.0,Ergelear
2017-11-01,305,0.37447794429660053,2018-06-13,164,0.384541888249639,2018-10-19,292,0.3752362161419018,586980.0,-2957400.0,Mid-dense trees,352,2018.0,Ergelear
1994-11-18,322,0.30448886772112094,1995-04-11,101,0.33227498550927903,1995-10-20,293,0.3043107700292517,586950.0,-2957430.0,Mid-dense trees,336,1995.0,Ergelear
1998-12-31,365,0.36395038721328443,1999-08-12,224,0.40827411978712475,1999-11-16,320,0.3760762614778609,586950.0,-2957430.0,Mid-dense trees,320,1999.0,Ergelear
2000-02-20,51,0.41425101715552737,2000-09-15,259,0.49275688059658396,2001-04-11,101,0.45491640486611984,586950.0,-2957430.0,Mid-dense trees,416,2000.0,Ergelear
2004-01-30,30,0.31336959368355555,2004-09-10,254,0.3395320467107125,2004-11-29,334,0.31870093623245166,586950.0,-2957430.0,Mid-dense trees,304,2004.0,Ergelear
2008-02-26,57,0.3171345830072486,2008-09-21,265,0.3849310108247502,2008-12-10,345,0.36609644624592186,586950.0,-2957430.0,Mid-dense trees,288,2008.0,Ergelear
2010-05-06,126,0.40485415917573964,2010-11-14,318,0.5255590659146196,2011-06-10,161,0.4798742777034626,586950.0,-2957430.0,Mid-dense trees,400,2010.0,Ergelear
2016-07-09,191,0.3880269485702272,2017-01-17,17,0.43331059448091785,2017-07-28,209,0.3835187768269185,586950.0,-2957430.0,Mid-dense trees,384,2017.0,Ergelear
2019-02-08,39,0.34838940781824757,2019-05-31,151,0.3772095168955388,2019-12-25,359,0.34153178232738163,586950.0,-2957430.0,Mid-dense trees,320,2019.0,Ergelear
1990-08-03,215,0.3568571674459058,1991-02-27,58,0.369894468899844,1991-09-23,266,0.35545102578100324,586980.0,-2957460.0,Mid-dense trees,416,1991.0,Ergelear
1997-04-16,106,0.33087971047112447,1997-10-25,298,0.3780878685029616,1998-05-21,141,0.3446427409291136,586980.0,-2957460.0,Mid-dense trees,400,1997.0,Ergelear
1999-08-12,224,0.3885881125906692,2000-03-07,67,0.4289926162525266,2000-09-15,259,0.3862584825398649,586980.0,-2957460.0,Mid-dense trees,400,2000.0,Ergelear
2002-02-09,40,0.3178681095633101,2002-08-20,232,0.3496506966976015,2003-01-11,11,0.3328480036268501,586980.0,-2957460.0,Mid-dense trees,336,2002.0,Ergelear
2004-03-02,62,0.3254332484766835,2004-09-26,270,0.3603921565955093,2005-04-22,112,0.3309081733391904,586980.0,-2957460.0,Mid-dense trees,416,2004.0,Ergelear
2006-06-12,163,0.3110671323180623,2007-01-06,6,0.348167186157831,2007-07-17,198,0.3001802674078392,586980.0,-2957460.0,Mid-dense trees,400,2007.0,Ergelear
