SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,Waterhole,POS_year
1997-01-10,10,0.484496449686918,1997-08-06,218,0.5183570025324871,1998-01-13,13,0.4995111486301563,583890.0,-3084150.0,Mid-dense trees,368,Little Tooley Wooley,1997.0
1999-08-28,240,0.49996879086635865,2000-02-20,51,0.5305391058598765,2000-09-15,259,0.4857532963509967,583890.0,-3084150.0,Mid-dense trees,384,Little Tooley Wooley,2000.0
2004-01-14,14,0.46161430069081355,2004-07-24,206,0.5041804190029108,2005-02-01,32,0.46965798401227576,583890.0,-3084150.0,Mid-dense trees,384,Little Tooley Wooley,2004.0
2010-07-25,206,0.5406420560833707,2011-01-01,1,0.5787366699264119,2011-07-28,209,0.5568760925128299,583890.0,-3084150.0,Mid-dense trees,368,Little Tooley Wooley,2011.0
2016-07-25,207,0.47849346728090864,2017-02-02,33,0.5733570780093306,2017-08-13,225,0.538241625969764,583890.0,-3084150.0,Mid-dense trees,384,Little Tooley Wooley,2017.0
1999-12-18,352,0.5500245011687629,2000-04-08,99,0.5790468088544031,2000-11-02,307,0.5452885180989087,583950.0,-3084150.0,Mid-dense trees,320,Little Tooley Wooley,2000.0
2004-02-15,46,0.4666318457675321,2004-08-25,238,0.4984972831075981,2005-02-01,32,0.4645189355907097,583950.0,-3084150.0,Mid-dense trees,352,Little Tooley Wooley,2004.0
2010-06-23,174,0.5892170127122043,2011-01-17,17,0.6782303122380371,2011-08-13,225,0.6369584281471067,583950.0,-3084150.0,Mid-dense trees,416,Little Tooley Wooley,2011.0
2016-06-23,175,0.5079346175944013,2017-01-17,17,0.5850673565265352,2017-07-28,209,0.5277247544913076,583950.0,-3084150.0,Mid-dense trees,400,Little Tooley Wooley,2017.0
1990-09-04,247,0.45897695470680433,1991-04-16,106,0.4729787460157481,1991-11-10,314,0.451566128027148,584040.0,-3084120.0,Sparse trees,432,Little Tooley Wooley,1991.0
1999-12-02,336,0.5248544552394321,2000-07-13,195,0.537695820598307,2001-02-06,37,0.5236571216407268,584040.0,-3084120.0,Sparse trees,432,Little Tooley Wooley,2000.0
2004-03-18,78,0.4142404901618333,2004-10-12,286,0.4429852345746261,2005-04-06,96,0.4114669563645456,584040.0,-3084120.0,Sparse trees,384,Little Tooley Wooley,2004.0
2010-07-09,190,0.5248513366429887,2011-01-17,17,0.6003514192856838,2011-08-13,225,0.5715054028543027,584040.0,-3084120.0,Sparse trees,400,Little Tooley Wooley,2011.0
2016-07-25,207,0.43595148244640347,2017-02-02,33,0.5375568494429575,2017-07-28,209,0.47603789706729294,584040.0,-3084120.0,Sparse trees,368,Little Tooley Wooley,2017.0
1990-08-03,215,0.4718520158869134,1991-02-27,58,0.5122409603932135,1991-09-23,266,0.4812538459453164,583920.0,-3084150.0,Sparse trees,416,Little Tooley Wooley,1991.0
1998-01-13,13,0.5227525542200792,1998-05-05,125,0.5316515574429393,1998-11-13,317,0.4989371967214678,583920.0,-3084150.0,Sparse trees,304,Little Tooley Wooley,1998.0
1999-12-02,336,0.5216823448473925,2000-07-13,195,0.5372483315961145,2001-02-06,37,0.5201606209290026,583920.0,-3084150.0,Sparse trees,432,Little Tooley Wooley,2000.0
2004-03-02,62,0.4675702905464516,2004-09-26,270,0.4920237000063146,2005-03-21,80,0.4529677289610535,583920.0,-3084150.0,Sparse trees,384,Little Tooley Wooley,2004.0
2010-08-10,222,0.5570436351002229,2011-02-18,49,0.6411507336884305,2011-08-29,241,0.5833673874017486,583920.0,-3084150.0,Sparse trees,384,Little Tooley Wooley,2011.0
2016-07-09,191,0.5316288865230575,2017-01-17,17,0.6145515080367102,2017-07-28,209,0.5573512200962604,583920.0,-3084150.0,Sparse trees,384,Little Tooley Wooley,2017.0
1991-01-26,26,0.45258530698653826,1991-09-07,250,0.4646604560897622,1991-11-10,314,0.4566732006666276,583860.0,-3084180.0,Sparse trees,288,Little Tooley Wooley,1991.0
1999-12-18,352,0.554331008175401,2000-07-13,195,0.5838824233337818,2000-11-18,323,0.5582116643326643,583860.0,-3084180.0,Sparse trees,336,Little Tooley Wooley,2000.0
2004-02-15,46,0.474758953966958,2004-09-10,254,0.5136852846568551,2005-03-21,80,0.4862289269293356,583860.0,-3084180.0,Sparse trees,400,Little Tooley Wooley,2004.0
2008-02-10,41,0.5056232390719658,2008-05-16,137,0.5213513057511768,2008-12-10,345,0.4910116167735322,583860.0,-3084180.0,Sparse trees,304,Little Tooley Wooley,2008.0
2010-07-09,190,0.5968949202043506,2011-01-17,17,0.6895994646540379,2011-08-13,225,0.6514246693591955,583860.0,-3084180.0,Sparse trees,400,Little Tooley Wooley,2011.0
2016-07-09,191,0.5608407026336414,2017-01-17,17,0.6518853562974725,2017-07-28,209,0.5745775568527732,583860.0,-3084180.0,Sparse trees,384,Little Tooley Wooley,2017.0
1991-02-27,58,0.46684327809092097,1991-09-23,266,0.4858938815062981,1992-04-02,93,0.47278322404601997,583890.0,-3084180.0,Sparse trees,400,Little Tooley Wooley,1991.0
2000-01-03,3,0.5584867136508599,2000-07-29,211,0.5880855746179569,2000-11-18,323,0.5564050276722186,583890.0,-3084180.0,Sparse trees,320,Little Tooley Wooley,2000.0
2004-02-15,46,0.4762449812606779,2004-08-25,238,0.5096626648453153,2005-03-05,64,0.47704590973464156,583890.0,-3084180.0,Sparse trees,384,Little Tooley Wooley,2004.0
2008-02-10,41,0.4911263084747455,2008-06-01,153,0.5109086620750658,2008-12-26,361,0.48814440029979383,583890.0,-3084180.0,Sparse trees,320,Little Tooley Wooley,2008.0
2010-07-25,206,0.6094739782968619,2011-02-18,49,0.7003723488659253,2011-08-29,241,0.6665604344660382,583890.0,-3084180.0,Sparse trees,400,Little Tooley Wooley,2011.0
2016-07-09,191,0.5489303818380433,2017-01-17,17,0.6331036034732475,2017-07-28,209,0.5644653679972675,583890.0,-3084180.0,Sparse trees,384,Little Tooley Wooley,2017.0
1991-01-26,26,0.49119983867297207,1991-09-07,250,0.5004346365737096,1991-11-10,314,0.49348145693840395,583800.0,-3084210.0,Sparse trees,288,Little Tooley Wooley,1991.0
1999-09-13,256,0.5990018207648958,2000-03-23,83,0.6150184374621206,2000-10-01,275,0.5927250662993526,583800.0,-3084210.0,Sparse trees,384,Little Tooley Wooley,2000.0
2004-02-15,46,0.5074193596309353,2004-08-25,238,0.537011924178328,2004-12-31,366,0.5107792657440322,583800.0,-3084210.0,Sparse trees,320,Little Tooley Wooley,2004.0
2008-01-25,25,0.557016904667317,2008-07-03,185,0.5660099326951248,2009-01-27,27,0.5378548997997656,583800.0,-3084210.0,Sparse trees,368,Little Tooley Wooley,2008.0
2010-07-25,206,0.6321521182603438,2011-02-18,49,0.6958988598887323,2011-09-14,257,0.6645551192603064,583800.0,-3084210.0,Sparse trees,416,Little Tooley Wooley,2011.0
2016-06-23,175,0.5951490479787521,2017-01-01,1,0.6561280654038156,2017-07-28,209,0.6017421837130547,583800.0,-3084210.0,Sparse trees,400,Little Tooley Wooley,2017.0
1990-07-18,199,0.46884799372001457,1991-02-11,42,0.49499622992865017,1991-09-07,250,0.4599401456400751,583650.0,-3084240.0,Sparse trees,416,Little Tooley Wooley,1991.0
1992-02-14,45,0.4532313456865508,1992-08-24,237,0.48531427806351995,1993-03-20,79,0.4527682495794496,583650.0,-3084240.0,Sparse trees,400,Little Tooley Wooley,1992.0
1997-10-25,298,0.5045831207317371,1998-05-05,125,0.5140755427161825,1998-11-29,333,0.4813731147976507,583650.0,-3084240.0,Sparse trees,400,Little Tooley Wooley,1998.0
1999-06-09,160,0.5108019309196923,1999-12-18,352,0.5647114667637126,2000-06-27,179,0.5399578487086973,583650.0,-3084240.0,Sparse trees,384,Little Tooley Wooley,1999.0
2004-03-18,78,0.4378787245201064,2004-10-12,286,0.46204984728212584,2005-04-06,96,0.4214651052360085,583650.0,-3084240.0,Sparse trees,384,Little Tooley Wooley,2004.0
2010-07-25,206,0.5389746001646797,2011-02-02,33,0.6276789648059717,2011-07-12,193,0.5974720678978397,583650.0,-3084240.0,Sparse trees,352,Little Tooley Wooley,2011.0
2016-07-25,207,0.44066757089370323,2017-02-02,33,0.5432590482343128,2017-08-13,225,0.4663926434701511,583650.0,-3084240.0,Sparse trees,384,Little Tooley Wooley,2017.0
1990-06-16,167,0.45303867484438287,1990-12-25,359,0.4832352079639042,1991-07-05,186,0.47080053139655176,583710.0,-3084240.0,Sparse trees,384,Little Tooley Wooley,1990.0
1994-06-11,162,0.4430549984603842,1995-01-05,5,0.4572094900760805,1995-07-16,197,0.4088391444935166,583710.0,-3084240.0,Sparse trees,400,Little Tooley Wooley,1995.0
1998-10-28,301,0.4863981335636773,1999-05-08,128,0.506321332368869,1999-10-15,288,0.4935812285459191,583710.0,-3084240.0,Sparse trees,352,Little Tooley Wooley,1999.0
2004-03-18,78,0.45732656130482924,2004-10-12,286,0.4875086449946842,2005-04-06,96,0.4561518870606337,583710.0,-3084240.0,Sparse trees,384,Little Tooley Wooley,2004.0
2007-06-15,166,0.4274840352925044,2008-01-09,9,0.4537574603127047,2008-08-04,217,0.4213578120102829,583710.0,-3084240.0,Sparse trees,416,Little Tooley Wooley,2008.0
2010-11-14,318,0.514286199761798,2011-06-10,161,0.5345339184820347,2011-08-29,241,0.5136374883369771,583710.0,-3084240.0,Sparse trees,288,Little Tooley Wooley,2011.0
2016-10-29,303,0.4462508762768998,2017-05-09,129,0.519954444649715,2017-11-01,305,0.4782382376033545,583710.0,-3084240.0,Sparse trees,368,Little Tooley Wooley,2017.0
2000-01-03,3,0.3963762117641404,2000-07-13,195,0.45426801190497174,2000-12-04,339,0.4184286648390185,583980.0,-3084240.0,Sparse trees,336,Little Tooley Wooley,2000.0
2004-02-15,46,0.376954802414997,2004-08-09,222,0.41039192632138816,2005-02-01,32,0.37291471523551584,583980.0,-3084240.0,Sparse trees,352,Little Tooley Wooley,2004.0
2010-07-09,190,0.578105137766442,2011-02-02,33,0.6830760803129426,2011-08-29,241,0.6169524573004077,583980.0,-3084240.0,Sparse trees,416,Little Tooley Wooley,2011.0
2016-05-22,143,0.46102032508318375,2016-11-30,335,0.5368391946845908,2017-06-10,161,0.4525565039137203,583980.0,-3084240.0,Sparse trees,384,Little Tooley Wooley,2016.0
1991-01-26,26,0.4153321143553392,1991-04-16,106,0.422724838086243,1991-11-10,314,0.41601830967657194,583830.0,-3084270.0,Sparse trees,288,Little Tooley Wooley,1991.0
2000-01-19,19,0.46571375863139425,2000-07-29,211,0.5202213285976656,2001-01-05,5,0.4819900420988392,583830.0,-3084270.0,Sparse trees,352,Little Tooley Wooley,2000.0
2004-02-15,46,0.42880452310444445,2004-09-10,254,0.47664983224671525,2005-03-05,64,0.4332025173732336,583830.0,-3084270.0,Sparse trees,384,Little Tooley Wooley,2004.0
2007-02-23,54,0.40208102576201765,2007-09-03,246,0.43747133618769923,2007-10-21,294,0.43255342667542956,583830.0,-3084270.0,Sparse trees,240,Little Tooley Wooley,2007.0
2010-08-26,238,0.6056531296960895,2011-03-22,81,0.6864500043518605,2011-09-30,273,0.630618141541897,583830.0,-3084270.0,Sparse trees,400,Little Tooley Wooley,2011.0
2016-06-23,175,0.48955324581896514,2017-01-01,1,0.5755269409240303,2017-07-28,209,0.4981372852741204,583830.0,-3084270.0,Sparse trees,400,Little Tooley Wooley,2017.0
2000-02-04,35,0.42640174940188197,2000-08-30,243,0.4864789000752486,2001-02-22,53,0.45155868360836815,583770.0,-3084300.0,Sparse trees,384,Little Tooley Wooley,2000.0
2004-02-15,46,0.4003054096389499,2004-09-10,254,0.43581701411585533,2005-01-16,16,0.4063972421144631,583770.0,-3084300.0,Sparse trees,336,Little Tooley Wooley,2004.0
2007-02-23,54,0.38909169314955466,2007-09-03,246,0.41723944153107273,2008-02-26,57,0.40996525449889337,583770.0,-3084300.0,Sparse trees,368,Little Tooley Wooley,2007.0
2010-08-10,222,0.5780100338362023,2011-03-06,65,0.6819420481296817,2011-09-30,273,0.6144779432506708,583770.0,-3084300.0,Sparse trees,416,Little Tooley Wooley,2011.0
2016-06-23,175,0.4463378373584703,2017-01-01,1,0.5261333836156998,2017-07-12,193,0.46790115596364246,583770.0,-3084300.0,Sparse trees,384,Little Tooley Wooley,2017.0
2010-04-04,94,0.40336345729600365,2010-10-13,286,0.47291285597443844,2011-05-09,129,0.44242982737984343,583950.0,-3084330.0,Sparse trees,400,Little Tooley Wooley,2010.0
2016-05-22,143,0.3788630837200009,2016-12-16,351,0.41473248895170967,2017-06-10,161,0.38133925278882164,583950.0,-3084330.0,Sparse trees,384,Little Tooley Wooley,2016.0
2000-01-03,3,0.40373342642781807,2000-07-13,195,0.4418776560039739,2000-11-02,307,0.42689464867829907,583800.0,-3084420.0,Sparse trees,304,Little Tooley Wooley,2000.0
2010-07-09,190,0.5149678627313405,2011-02-02,33,0.5590264171222951,2011-08-29,241,0.5230772794489875,583800.0,-3084420.0,Sparse trees,416,Little Tooley Wooley,2011.0
2016-05-22,143,0.47544717466913644,2016-12-16,351,0.5328828586528797,2017-06-26,177,0.4691752486033855,583800.0,-3084420.0,Sparse trees,400,Little Tooley Wooley,2016.0
2000-01-03,3,0.3834332766874925,2000-07-13,195,0.41654915364647455,2001-01-21,21,0.40789493045787406,583800.0,-3084450.0,Sparse trees,384,Little Tooley Wooley,2000.0
2010-07-25,206,0.4700457570312239,2011-02-18,49,0.510561532218888,2011-09-14,257,0.4834211325225545,583800.0,-3084450.0,Sparse trees,416,Little Tooley Wooley,2011.0
2016-05-06,127,0.43979864441846045,2016-11-30,335,0.46606186437000197,2017-06-10,161,0.4360673501253615,583800.0,-3084450.0,Sparse trees,400,Little Tooley Wooley,2016.0
1990-07-02,183,0.42429000603069544,1991-01-26,26,0.4459670161764067,1991-08-22,234,0.42056837497205135,582210.0,-3084480.0,Sparse trees,416,Little Tooley Wooley,1991.0
1997-01-26,26,0.3605066517083055,1997-08-22,234,0.44140013501886244,1998-03-02,61,0.4129459375016172,582210.0,-3084480.0,Sparse trees,400,Little Tooley Wooley,1997.0
2000-01-03,3,0.42601706928781197,2000-07-29,211,0.4919319729294255,2001-02-06,37,0.44615025557569155,582210.0,-3084480.0,Sparse trees,400,Little Tooley Wooley,2000.0
2001-11-05,309,0.3972593235935214,2002-05-16,136,0.4314627528719018,2002-11-08,312,0.3991300440642763,582210.0,-3084480.0,Sparse trees,368,Little Tooley Wooley,2002.0
2004-04-03,94,0.40096939538986953,2004-10-12,286,0.4340984654426629,2005-04-22,112,0.39553504889534163,582210.0,-3084480.0,Sparse trees,384,Little Tooley Wooley,2004.0
2010-11-14,318,0.5086405365140262,2011-05-25,145,0.5687438289393485,2011-11-17,321,0.49877898437171464,582210.0,-3084480.0,Sparse trees,368,Little Tooley Wooley,2011.0
2012-09-16,260,0.4444144186498344,2013-03-27,86,0.49112091996310026,2013-09-19,262,0.45364250050786653,582210.0,-3084480.0,Sparse trees,368,Little Tooley Wooley,2013.0
2017-04-07,97,0.39966849869462245,2017-11-01,305,0.4193911819216105,2018-05-12,132,0.4076882685292519,582210.0,-3084480.0,Sparse trees,400,Little Tooley Wooley,2017.0
2000-02-20,51,0.3830429272704132,2000-08-30,243,0.4521194294502151,2001-02-22,53,0.3988291265659856,583770.0,-3084480.0,Sparse trees,368,Little Tooley Wooley,2000.0
2010-09-11,254,0.5201615474219802,2011-04-07,97,0.5708578457352724,2011-10-16,289,0.5290452011169933,583770.0,-3084480.0,Sparse trees,400,Little Tooley Wooley,2011.0
2016-04-20,111,0.44053543104354714,2016-11-14,319,0.47308121575845213,2017-05-25,145,0.42220400857590773,583770.0,-3084480.0,Sparse trees,400,Little Tooley Wooley,2016.0
1990-03-28,87,0.40130787545749014,1990-10-22,295,0.45742041551613566,1991-01-10,10,0.44598740694669325,582120.0,-3084540.0,Sparse trees,288,Little Tooley Wooley,1990.0
1996-12-25,360,0.39689923297086344,1997-07-21,202,0.4339407152725808,1998-01-13,13,0.40445138206458087,582120.0,-3084540.0,Sparse trees,384,Little Tooley Wooley,1997.0
2000-02-04,35,0.44920680466166424,2000-08-14,227,0.507753277146365,2001-02-22,53,0.47796710682441096,582120.0,-3084540.0,Sparse trees,384,Little Tooley Wooley,2000.0
2004-03-02,62,0.38220140014504017,2004-09-26,270,0.44584570493123293,2005-03-05,64,0.4069631084555493,582120.0,-3084540.0,Sparse trees,368,Little Tooley Wooley,2004.0
2010-07-25,206,0.5721654979693235,2011-02-18,49,0.7314019727222537,2011-08-29,241,0.6523190558085488,582120.0,-3084540.0,Sparse trees,400,Little Tooley Wooley,2011.0
2016-06-23,175,0.4036290998640519,2017-01-01,1,0.4759887784366395,2017-06-26,177,0.43115719726013635,582120.0,-3084540.0,Sparse trees,368,Little Tooley Wooley,2017.0
1990-03-28,87,0.40289720299267917,1990-10-22,295,0.4253046414360218,1990-12-09,343,0.4168003077070809,583080.0,-3084810.0,Sparse trees,256,Little Tooley Wooley,1990.0
2000-02-20,51,0.4240652162670591,2000-09-15,259,0.46373374615877294,2001-03-10,69,0.43302913405715426,583080.0,-3084810.0,Sparse trees,384,Little Tooley Wooley,2000.0
