SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,Waterhole,POS_year
1990-02-24,55,0.3841794861097204,1990-08-19,231,0.4297001371472641,1991-03-15,74,0.4094077147628464,577350.0,-2927640.0,Mid-dense trees,384,Marboo,1990.0
1998-07-24,205,0.4702329530932493,1999-02-17,48,0.5532263895625287,1999-09-13,256,0.4939169350659118,577350.0,-2927640.0,Mid-dense trees,416,Marboo,1999.0
2000-11-02,307,0.3401189673640551,2001-06-14,165,0.38348303050085314,2001-09-18,261,0.3612894011685631,577350.0,-2927640.0,Mid-dense trees,320,Marboo,2001.0
2008-01-09,9,0.3575002444176414,2008-08-04,217,0.39895836225297915,2008-11-24,329,0.35267904928896493,577350.0,-2927640.0,Mid-dense trees,320,Marboo,2008.0
2010-07-25,206,0.38996329134631563,2011-01-17,17,0.4720615533074736,2011-08-13,225,0.36983051011875157,577350.0,-2927640.0,Mid-dense trees,384,Marboo,2011.0
2012-02-05,36,0.32774881874003575,2012-08-15,228,0.380717761854402,2013-01-22,22,0.3316027100653688,577350.0,-2927640.0,Mid-dense trees,352,Marboo,2012.0
2016-07-25,207,0.34136353174995576,2017-02-02,33,0.46212608502372443,2017-08-13,225,0.3711867842701629,577350.0,-2927640.0,Mid-dense trees,384,Marboo,2017.0
2019-06-16,167,0.32303973810009173,2019-12-25,359,0.3443712977142477,2020-07-04,186,0.32046176272851457,577350.0,-2927640.0,Mid-dense trees,384,Marboo,2019.0
1996-02-09,40,0.3420307174618891,1996-06-16,168,0.3642930896779373,1997-01-10,10,0.3297309199023343,577410.0,-2927640.0,Mid-dense trees,336,Marboo,1996.0
1998-09-10,253,0.47717548735384163,1999-03-21,80,0.5181917712239937,1999-10-15,288,0.4747186518407152,577410.0,-2927640.0,Mid-dense trees,400,Marboo,1999.0
2008-01-25,25,0.32563966215657253,2008-08-20,233,0.37974378653961194,2008-11-24,329,0.3358290463597374,577410.0,-2927640.0,Mid-dense trees,304,Marboo,2008.0
2010-06-07,158,0.4184962489171266,2010-12-16,350,0.5595430823200839,2011-07-12,193,0.4630832196549361,577410.0,-2927640.0,Mid-dense trees,400,Marboo,2010.0
2012-02-05,36,0.3981556269468388,2012-08-31,244,0.4341493217209034,2012-12-21,356,0.3966670474550962,577410.0,-2927640.0,Mid-dense trees,320,Marboo,2012.0
2016-06-23,175,0.3488185374224961,2017-01-01,1,0.4497663134281517,2017-07-12,193,0.37486050180848585,577410.0,-2927640.0,Mid-dense trees,384,Marboo,2017.0
2019-03-12,71,0.3311536023484309,2019-10-06,279,0.3594059666327328,2020-04-15,106,0.3439528537602418,577410.0,-2927640.0,Mid-dense trees,400,Marboo,2019.0
1990-03-28,87,0.3493750872548891,1990-09-20,263,0.44697127951585397,1991-03-31,90,0.3808981309370613,577380.0,-2927670.0,Mid-dense trees,368,Marboo,1990.0
1999-12-18,352,0.43731824894893045,2000-01-19,19,0.4389772497728476,2000-07-29,211,0.3424326577456201,577380.0,-2927670.0,Mid-dense trees,224,Marboo,2000.0
2007-11-06,310,0.3164955267777201,2008-04-30,121,0.377727962199358,2008-11-24,329,0.33529680763910874,577380.0,-2927670.0,Mid-dense trees,384,Marboo,2008.0
2012-01-20,20,0.27585752536294617,2012-07-30,212,0.34417502579040343,2013-01-22,22,0.2865828017608241,577380.0,-2927670.0,Mid-dense trees,368,Marboo,2012.0
2016-06-23,175,0.3291195171050216,2017-01-17,17,0.44174944761268964,2017-07-28,209,0.3508942274512044,577380.0,-2927670.0,Mid-dense trees,400,Marboo,2017.0
2019-02-24,55,0.33001645405829094,2019-08-19,231,0.34751818902637627,2020-02-11,42,0.3130625207103915,577380.0,-2927670.0,Mid-dense trees,352,Marboo,2019.0
1990-07-18,199,0.43864586571791014,1991-01-26,26,0.46851139698487854,1991-08-06,218,0.4035427715413552,577500.0,-2927670.0,Mid-dense trees,384,Marboo,1991.0
2000-11-02,307,0.47795631979267544,2001-01-21,21,0.4920134281734831,2001-08-17,229,0.41946413062612364,577500.0,-2927670.0,Mid-dense trees,288,Marboo,2001.0
2004-02-15,46,0.3442097767071818,2004-09-10,254,0.3845069165325067,2005-03-21,80,0.34865674870598673,577500.0,-2927670.0,Mid-dense trees,400,Marboo,2004.0
2008-01-09,9,0.32215482912012616,2008-08-04,217,0.37727817621918913,2008-11-08,313,0.33712220768735157,577500.0,-2927670.0,Mid-dense trees,304,Marboo,2008.0
2009-01-27,27,0.3357701260789407,2009-06-04,155,0.3652413489880085,2009-12-29,363,0.32843353917923157,577500.0,-2927670.0,Mid-dense trees,336,Marboo,2009.0
2010-06-07,158,0.4388776935601664,2010-12-16,350,0.6242569386816393,2011-06-26,177,0.5323575554696116,577500.0,-2927670.0,Mid-dense trees,384,Marboo,2010.0
2016-07-09,191,0.3329589443639878,2017-01-17,17,0.4172621950307349,2017-07-28,209,0.35841852712567995,577500.0,-2927670.0,Mid-dense trees,384,Marboo,2017.0
2019-03-28,87,0.30568078486599365,2019-10-22,295,0.3405620587785099,2020-05-01,122,0.32247586898635494,577500.0,-2927670.0,Mid-dense trees,400,Marboo,2019.0
1990-07-02,183,0.4069971607221968,1991-01-26,26,0.4511454869544372,1991-08-06,218,0.3711252055580199,577470.0,-2927700.0,Mid-dense trees,400,Marboo,1991.0
1995-01-21,21,0.30568590835525444,1995-08-01,213,0.34160430361268,1995-12-23,357,0.3079558176191461,577470.0,-2927700.0,Mid-dense trees,336,Marboo,1995.0
1998-10-28,301,0.43934300269819276,1999-05-08,128,0.5210002066598676,1999-12-02,336,0.44314454495452005,577470.0,-2927700.0,Mid-dense trees,400,Marboo,1999.0
2000-11-18,323,0.3278267807714441,2001-05-29,149,0.40946163390803864,2001-11-05,309,0.3412779664202652,577470.0,-2927700.0,Mid-dense trees,352,Marboo,2001.0
2008-01-09,9,0.3226028879529784,2008-08-04,217,0.37901951927766003,2008-11-24,329,0.3347204522349022,577470.0,-2927700.0,Mid-dense trees,320,Marboo,2008.0
2010-07-09,190,0.26770067015442506,2011-01-01,1,0.4099868632672235,2011-07-28,209,0.3732585035089652,577470.0,-2927700.0,Mid-dense trees,384,Marboo,2011.0
2012-01-20,20,0.37961214253324255,2012-07-30,212,0.4400593762428277,2013-01-06,6,0.3788955720363331,577470.0,-2927700.0,Mid-dense trees,352,Marboo,2012.0
2016-06-23,175,0.38365825461530184,2017-01-01,1,0.4798994049842962,2017-07-12,193,0.38752426650685606,577470.0,-2927700.0,Mid-dense trees,384,Marboo,2017.0
1990-07-02,183,0.4211527145370784,1991-01-26,26,0.4664455970667105,1991-08-06,218,0.39785222278571647,577500.0,-2927700.0,Mid-dense trees,400,Marboo,1991.0
1996-02-09,40,0.35681325562286625,1996-06-16,168,0.38764361583102,1997-01-10,10,0.35301645336953996,577500.0,-2927700.0,Mid-dense trees,336,Marboo,1996.0
1998-08-09,221,0.4801987986187368,1999-02-17,48,0.5567002512516287,1999-09-13,256,0.49838998810896273,577500.0,-2927700.0,Mid-dense trees,400,Marboo,1999.0
2000-11-18,323,0.3832836094101162,2001-06-14,165,0.43337859217367936,2001-10-04,277,0.3896796286631613,577500.0,-2927700.0,Mid-dense trees,320,Marboo,2001.0
2004-03-02,62,0.35623262898891345,2004-09-26,270,0.37978393373214586,2005-04-22,112,0.3527248021693339,577500.0,-2927700.0,Mid-dense trees,416,Marboo,2004.0
2007-12-24,358,0.3483374298502852,2008-05-16,137,0.39815874892633246,2008-11-24,329,0.34302960238901437,577500.0,-2927700.0,Mid-dense trees,336,Marboo,2008.0
