SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
2010-08-01,213,0.4241456713746041,2011-02-09,40,0.5921795463518129,2011-08-20,232,0.5290774521029138,477600.0,-3066870.0,Dense trees,384,2011.0,Mulkonbar
2016-08-01,214,0.5329799685644937,2017-02-09,40,0.5714136796805712,2017-09-05,248,0.5035347619521889,477600.0,-3066870.0,Dense trees,400,2017.0,Mulkonbar
1998-02-05,36,0.494317112009427,1998-09-01,244,0.5432057277485355,1999-02-24,55,0.502850463621069,477450.0,-3066930.0,Dense trees,384,1998.0,Mulkonbar
2000-07-04,186,0.5660640812804607,2001-01-28,28,0.6039626365488457,2001-08-24,236,0.5318228963568479,477450.0,-3066930.0,Dense trees,416,2001.0,Mulkonbar
2007-12-31,365,0.5641315155420702,2008-07-26,208,0.6034064435802845,2009-01-18,18,0.5695739467398977,477450.0,-3066930.0,Dense trees,384,2008.0,Mulkonbar
2010-08-01,213,0.6139038760219916,2011-02-09,40,0.7545326883649872,2011-08-04,216,0.6610783278799853,477450.0,-3066930.0,Dense trees,368,2011.0,Mulkonbar
2016-04-27,118,0.6627092874961078,2016-11-05,310,0.7475179759620658,2017-06-01,152,0.6869676761784235,477450.0,-3066930.0,Dense trees,400,2016.0,Mulkonbar
1990-08-10,222,0.5439443331081969,1991-02-18,49,0.5697804375997895,1991-08-29,241,0.5135136043378268,477570.0,-3066930.0,Dense trees,384,1991.0,Mulkonbar
1995-12-14,348,0.5166925356956034,1996-03-03,63,0.5310162493443403,1996-09-27,271,0.48715118577072736,477570.0,-3066930.0,Dense trees,288,1996.0,Mulkonbar
1998-03-09,68,0.4969531681349262,1998-09-17,260,0.535871167542331,1999-04-13,103,0.5171070003531896,477570.0,-3066930.0,Dense trees,400,1998.0,Mulkonbar
2000-01-10,10,0.48125779679077935,2000-08-05,218,0.5728663645474148,2000-11-09,314,0.5377764116997402,477570.0,-3066930.0,Dense trees,304,2000.0,Mulkonbar
2010-07-16,197,0.5970011932229511,2011-02-09,40,0.7246889551820296,2011-08-20,232,0.6405641471307728,477570.0,-3066930.0,Dense trees,400,2011.0,Mulkonbar
2013-03-02,61,0.5537452675055511,2013-09-26,269,0.5894936298600862,2014-04-06,96,0.5703117187596093,477570.0,-3066930.0,Dense trees,400,2013.0,Mulkonbar
2016-03-10,70,0.5671587744957287,2016-10-04,278,0.6257797052864464,2017-04-14,104,0.5988237732903025,477570.0,-3066930.0,Dense trees,400,2016.0,Mulkonbar
2010-09-18,261,0.4572062231565623,2011-03-29,88,0.5447377385295198,2011-10-07,280,0.5178591056609061,475500.0,-3066960.0,Dense trees,384,2011.0,Mulkonbar
2016-08-01,214,0.5600063314867548,2017-02-09,40,0.5986236102343188,2017-08-20,232,0.53958026122583,475500.0,-3066960.0,Dense trees,384,2017.0,Mulkonbar
1990-03-19,78,0.5517763395584316,1990-10-13,286,0.6176337491070424,1991-05-09,129,0.5920787833356399,477570.0,-3066960.0,Dense trees,416,1990.0,Mulkonbar
1995-12-30,364,0.5056018971513984,1996-04-04,95,0.5335326443312796,1996-11-14,319,0.5042863622836498,477570.0,-3066960.0,Dense trees,320,1996.0,Mulkonbar
1999-12-25,359,0.490514796000972,2000-07-20,202,0.5340668689976974,2000-10-24,298,0.49266638737185153,477570.0,-3066960.0,Dense trees,304,2000.0,Mulkonbar
2010-07-16,197,0.5857286355110822,2011-01-24,24,0.6845538854717292,2011-08-04,216,0.6223424108503378,477570.0,-3066960.0,Dense trees,384,2011.0,Mulkonbar
2013-02-14,45,0.5562436579597221,2013-09-10,253,0.6050887251697866,2014-02-01,32,0.5710187337498251,477570.0,-3066960.0,Dense trees,352,2013.0,Mulkonbar
2016-03-10,70,0.6131646624550533,2016-10-04,278,0.6734423817290431,2017-04-14,104,0.6382210330397453,477570.0,-3066960.0,Dense trees,400,2016.0,Mulkonbar
2018-01-11,11,0.5929573320342725,2018-07-06,187,0.6363604008866162,2018-12-29,363,0.5969832512009748,477570.0,-3066960.0,Dense trees,352,2018.0,Mulkonbar
2000-01-10,10,0.504594470977098,2000-08-05,218,0.5502475866745086,2000-11-09,314,0.5214837240439143,475500.0,-3066990.0,Dense trees,304,2000.0,Mulkonbar
2007-12-31,365,0.5481644802581972,2008-04-05,96,0.5687316543031468,2008-10-14,288,0.5473465378337701,475500.0,-3066990.0,Dense trees,288,2008.0,Mulkonbar
2010-08-01,213,0.5386186322037495,2011-02-09,40,0.6324153024135745,2011-09-05,248,0.5834508674353105,475500.0,-3066990.0,Dense trees,400,2011.0,Mulkonbar
2013-12-31,365,0.6049479746810938,2014-05-08,128,0.6289536192109954,2014-11-16,320,0.5995586869609486,475500.0,-3066990.0,Dense trees,320,2014.0,Mulkonbar
2016-07-16,198,0.6587357154948931,2017-02-09,40,0.6993622054654945,2017-09-05,248,0.6453160172639393,475500.0,-3066990.0,Dense trees,416,2017.0,Mulkonbar
1990-07-25,206,0.5678709825665307,1991-02-18,49,0.5859665511038756,1991-09-14,257,0.5438347781906998,477570.0,-3066990.0,Dense trees,416,1991.0,Mulkonbar
1996-01-15,15,0.5385630143934464,1996-04-04,95,0.5553979455919662,1996-11-14,319,0.5328559477022713,477570.0,-3066990.0,Dense trees,304,1996.0,Mulkonbar
2000-01-26,26,0.4784349282935298,2000-08-21,234,0.5623982476392829,2001-03-01,60,0.5353160734278527,477570.0,-3066990.0,Dense trees,400,2000.0,Mulkonbar
2010-07-16,197,0.5889593398639748,2011-01-24,24,0.6765315969763345,2011-08-04,216,0.6091790272184973,477570.0,-3066990.0,Dense trees,384,2011.0,Mulkonbar
2016-04-27,118,0.608532620568138,2016-11-05,310,0.6573833650205845,2017-05-16,136,0.6305685511516166,477570.0,-3066990.0,Dense trees,384,2016.0,Mulkonbar
1990-08-10,222,0.5444445028796059,1991-02-02,33,0.5842414255089518,1991-08-13,225,0.5167471613198418,475500.0,-3067020.0,Dense trees,368,1991.0,Mulkonbar
1995-02-13,44,0.5342124765290375,1995-09-09,252,0.5601143561524826,1995-11-28,332,0.540124623270452,475500.0,-3067020.0,Dense trees,288,1995.0,Mulkonbar
1999-12-25,359,0.5342070716753282,2000-07-20,202,0.6005525886844617,2000-11-09,314,0.560148583504519,475500.0,-3067020.0,Dense trees,320,2000.0,Mulkonbar
2004-01-21,21,0.5665912681987275,2004-05-12,133,0.5889708630778255,2004-11-20,325,0.5668617753367718,475500.0,-3067020.0,Dense trees,304,2004.0,Mulkonbar
2007-12-15,349,0.5764611610327234,2008-03-04,64,0.5977136036809056,2008-09-28,272,0.5747065791593418,475500.0,-3067020.0,Dense trees,288,2008.0,Mulkonbar
2010-08-17,229,0.5848832209258724,2011-02-25,56,0.668426816458137,2011-09-21,264,0.6201476875739046,475500.0,-3067020.0,Dense trees,400,2011.0,Mulkonbar
2013-12-15,349,0.6604847435572938,2014-04-06,96,0.6817609477078886,2014-10-31,304,0.6413334669986414,475500.0,-3067020.0,Dense trees,320,2014.0,Mulkonbar
2016-04-11,102,0.6901798105341017,2016-10-20,294,0.7483590117519567,2017-05-16,136,0.72949767500184,475500.0,-3067020.0,Dense trees,400,2016.0,Mulkonbar
1990-05-06,126,0.4979950618713673,1990-11-14,318,0.5478337530476758,1991-05-25,145,0.47769806593261294,477690.0,-3067020.0,Dense trees,384,1990.0,Mulkonbar
2000-02-11,42,0.4424121423503131,2000-08-21,234,0.5519094085502736,2001-03-17,76,0.5202697368504162,477690.0,-3067020.0,Dense trees,400,2000.0,Mulkonbar
2010-05-13,133,0.5209678556905151,2010-12-07,341,0.6642623571961364,2011-06-17,168,0.593946745868346,477690.0,-3067020.0,Dense trees,400,2010.0,Mulkonbar
2016-08-01,214,0.5864586810065816,2017-02-25,56,0.6056848060773613,2017-09-21,264,0.5576571272039702,477690.0,-3067020.0,Dense trees,416,2017.0,Mulkonbar
1990-08-26,238,0.522290497978029,1991-03-06,65,0.5749359306338927,1991-09-14,257,0.5045746550684481,475500.0,-3067050.0,Dense trees,384,1991.0,Mulkonbar
1995-03-01,60,0.520068018352221,1995-09-25,268,0.5780940116637293,1996-04-20,111,0.5501259923615727,475500.0,-3067050.0,Dense trees,416,1995.0,Mulkonbar
1996-12-16,351,0.49633485262953436,1997-04-07,97,0.5330679186085577,1997-11-01,305,0.4954786261945777,475500.0,-3067050.0,Dense trees,320,1997.0,Mulkonbar
2000-01-10,10,0.5633071508139367,2000-08-05,218,0.6308286395500416,2000-11-09,314,0.5912131169926657,475500.0,-3067050.0,Dense trees,304,2000.0,Mulkonbar
2004-02-06,37,0.5677758317173082,2004-09-01,245,0.5962053478416197,2004-12-06,341,0.5760142055886691,475500.0,-3067050.0,Dense trees,304,2004.0,Mulkonbar
2007-12-31,365,0.5860697325127878,2008-03-20,80,0.6029464897853369,2008-10-14,288,0.5610269338142492,475500.0,-3067050.0,Dense trees,288,2008.0,Mulkonbar
2010-08-01,213,0.5952438920750467,2011-02-25,56,0.7063966899129637,2011-09-21,264,0.6494552965464262,475500.0,-3067050.0,Dense trees,416,2011.0,Mulkonbar
2013-12-31,365,0.6331120567117915,2014-03-21,80,0.6463330622922236,2014-10-15,288,0.6175346803273882,475500.0,-3067050.0,Dense trees,288,2014.0,Mulkonbar
2016-04-27,118,0.6878484218777122,2016-11-05,310,0.7588880380479398,2017-06-01,152,0.7288135525424204,475500.0,-3067050.0,Dense trees,400,2016.0,Mulkonbar
1990-09-11,254,0.44678277128231214,1991-03-22,81,0.5362762290230481,1991-09-30,273,0.47672746226151946,475530.0,-3067050.0,Dense trees,384,1991.0,Mulkonbar
1995-02-13,44,0.4782287602497438,1995-09-09,252,0.550572146004773,1996-04-04,95,0.5255984031666632,475530.0,-3067050.0,Dense trees,416,1995.0,Mulkonbar
2000-01-10,10,0.5076473390396868,2000-07-20,202,0.5873496817713726,2000-11-25,330,0.5390505590246687,475530.0,-3067050.0,Dense trees,320,2000.0,Mulkonbar
2004-01-21,21,0.5052363839318665,2004-08-16,229,0.550777333508083,2004-11-20,325,0.5288146915577584,475530.0,-3067050.0,Dense trees,304,2004.0,Mulkonbar
2007-01-13,13,0.5148442917769831,2007-08-09,221,0.5399020158161605,2007-10-28,301,0.5185869703987052,475530.0,-3067050.0,Dense trees,288,2007.0,Mulkonbar
2010-08-17,229,0.5632535199267171,2011-02-25,56,0.6684655959666118,2011-09-21,264,0.6068212823913605,475530.0,-3067050.0,Dense trees,400,2011.0,Mulkonbar
2016-05-13,134,0.65397785846735,2016-11-21,326,0.7221145595253929,2017-06-17,168,0.6880874500287013,475530.0,-3067050.0,Dense trees,400,2016.0,Mulkonbar
1990-09-11,254,0.4614372084470008,1991-03-22,81,0.5375625957268284,1991-09-30,273,0.47594994117141715,475680.0,-3067080.0,Dense trees,384,1991.0,Mulkonbar
2000-01-26,26,0.5123487747856248,2000-08-05,218,0.6038860943711782,2000-11-25,330,0.5635681684428805,475680.0,-3067080.0,Dense trees,304,2000.0,Mulkonbar
2004-02-22,53,0.4877407517680291,2004-09-17,261,0.5309798005984392,2004-11-20,325,0.5150626968138925,475680.0,-3067080.0,Dense trees,272,2004.0,Mulkonbar
2007-02-14,45,0.48226215048105286,2007-09-10,253,0.5486295964908496,2007-10-28,301,0.5306835478020032,475680.0,-3067080.0,Dense trees,256,2007.0,Mulkonbar
2010-07-16,197,0.5537342419530472,2011-01-24,24,0.7415537726492015,2011-08-04,216,0.6421115579964284,475680.0,-3067080.0,Dense trees,384,2011.0,Mulkonbar
2016-05-29,150,0.6213541393878086,2016-12-07,342,0.6969967491800467,2017-06-17,168,0.6456784632292879,475680.0,-3067080.0,Dense trees,384,2016.0,Mulkonbar
