SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
1990-03-19,78,0.5541950108222965,1990-10-13,286,0.6251212686056827,1991-05-09,129,0.558870587152873,438060.0,-3058260.0,Dense trees,416,1990.0,ScrubbyCamp
2000-07-04,186,0.5629452542376816,2001-01-28,28,0.5884605210087733,2001-08-08,220,0.5050791923489469,438060.0,-3058260.0,Dense trees,400,2001.0,ScrubbyCamp
2010-05-29,149,0.5191972033550044,2010-12-07,341,0.717882669993185,2011-06-17,168,0.6511791449185619,438060.0,-3058260.0,Dense trees,384,2010.0,ScrubbyCamp
2016-07-16,198,0.5589240826101659,2017-02-09,40,0.5989236224246396,2017-09-05,248,0.5220892460493252,438060.0,-3058260.0,Dense trees,416,2017.0,ScrubbyCamp
1990-01-30,30,0.6024668421526042,1990-08-26,238,0.6566099434201191,1990-12-16,350,0.6222274371460084,438180.0,-3058260.0,Dense trees,320,1990.0,ScrubbyCamp
1996-08-10,223,0.6118269432631601,1997-02-18,49,0.6394477981725605,1997-09-14,257,0.564041078681156,438180.0,-3058260.0,Dense trees,400,1997.0,ScrubbyCamp
1998-07-31,212,0.628248272802296,1999-02-24,55,0.6729035817587165,1999-09-20,263,0.6220529280388681,438180.0,-3058260.0,Dense trees,416,1999.0,ScrubbyCamp
2000-02-11,42,0.6315921328030167,2000-09-06,250,0.6788653542944543,2001-04-18,108,0.645028696441686,438180.0,-3058260.0,Dense trees,432,2000.0,ScrubbyCamp
2005-02-24,55,0.5340948369495803,2005-09-20,263,0.558259817074624,2006-04-16,106,0.5350342893626662,438180.0,-3058260.0,Dense trees,416,2005.0,ScrubbyCamp
2008-01-16,16,0.5883337724322529,2008-08-11,224,0.6133266740245954,2008-12-17,352,0.5851791560100958,438180.0,-3058260.0,Dense trees,336,2008.0,ScrubbyCamp
2010-06-30,181,0.6793021745210727,2011-01-24,24,0.7846135895139046,2011-08-04,216,0.6948220351802928,438180.0,-3058260.0,Dense trees,400,2011.0,ScrubbyCamp
2012-01-11,11,0.621604213091909,2012-04-16,107,0.6541322113694715,2012-11-10,315,0.6051282253226543,438180.0,-3058260.0,Dense trees,304,2012.0,ScrubbyCamp
2013-03-02,61,0.6048348832577347,2013-09-26,269,0.6319458272661931,2013-11-29,333,0.6162931796273912,438180.0,-3058260.0,Dense trees,272,2013.0,ScrubbyCamp
2016-05-29,150,0.6641313438679456,2016-12-07,342,0.7964372909879693,2017-07-03,184,0.6858060544591703,438180.0,-3058260.0,Dense trees,400,2016.0,ScrubbyCamp
2019-03-03,62,0.5772955761958017,2019-05-06,126,0.5926651390278879,2019-11-30,334,0.5627239494769235,438180.0,-3058260.0,Dense trees,272,2019.0,ScrubbyCamp
1990-02-15,46,0.582925278981036,1990-08-26,238,0.6356868710674568,1991-03-22,81,0.5759319522518631,438210.0,-3058260.0,Dense trees,400,1990.0,ScrubbyCamp
1998-06-29,180,0.5768721049717049,1999-01-23,23,0.6233590933750209,1999-08-03,215,0.5711369157029909,438210.0,-3058260.0,Dense trees,400,1999.0,ScrubbyCamp
2000-02-11,42,0.5749491111712601,2000-09-06,250,0.6405099871427637,2001-04-02,92,0.6043762300382178,438210.0,-3058260.0,Dense trees,416,2000.0,ScrubbyCamp
2007-07-08,189,0.5250780038740225,2008-02-01,32,0.5578564034820933,2008-08-27,240,0.511549902573526,438210.0,-3058260.0,Dense trees,416,2008.0,ScrubbyCamp
2010-06-30,181,0.6259534022325872,2011-01-08,8,0.7623914517572701,2011-07-19,200,0.6513187682322065,438210.0,-3058260.0,Dense trees,384,2011.0,ScrubbyCamp
2016-05-29,150,0.5990511477578169,2016-12-07,342,0.7104556723742483,2017-06-17,168,0.6240726131687153,438210.0,-3058260.0,Dense trees,384,2016.0,ScrubbyCamp
1990-03-19,78,0.5737841378839936,1990-09-27,270,0.6512180375756261,1991-04-23,113,0.6026753833940466,438150.0,-3058290.0,Dense trees,400,1990.0,ScrubbyCamp
1995-12-14,348,0.5223780836673947,1996-07-09,191,0.5484364184120613,1996-10-29,303,0.5287147929218619,438150.0,-3058290.0,Dense trees,320,1996.0,ScrubbyCamp
1998-02-21,52,0.545108764770229,1998-09-01,244,0.605239305663084,1998-12-22,356,0.579201417736022,438150.0,-3058290.0,Dense trees,304,1998.0,ScrubbyCamp
2000-02-11,42,0.5907288975803444,2000-09-06,250,0.636529729173786,2001-04-18,108,0.6139054189576979,438150.0,-3058290.0,Dense trees,432,2000.0,ScrubbyCamp
2007-03-02,61,0.4813729119764261,2007-09-26,269,0.5723716044452437,2007-11-29,333,0.5548537673470675,438150.0,-3058290.0,Dense trees,272,2007.0,ScrubbyCamp
2010-06-30,181,0.6132539772650623,2011-01-24,24,0.7349258224781099,2011-08-04,216,0.6452393448194331,438150.0,-3058290.0,Dense trees,400,2011.0,ScrubbyCamp
2016-07-16,198,0.6510616349805299,2017-02-09,40,0.7109143892472974,2017-08-20,232,0.6172282214271495,438150.0,-3058290.0,Dense trees,400,2017.0,ScrubbyCamp
1990-03-03,62,0.5652444509179905,1990-09-27,270,0.6414375140688704,1991-04-23,113,0.5742908676599571,438420.0,-3058290.0,Dense trees,416,1990.0,ScrubbyCamp
1996-01-15,15,0.525295831679969,1996-03-19,79,0.5368247533815533,1996-10-13,287,0.5129811230708996,438420.0,-3058290.0,Dense trees,272,1996.0,ScrubbyCamp
1998-06-29,180,0.5880597316247239,1999-01-23,23,0.6484464279337026,1999-08-03,215,0.5914914634828676,438420.0,-3058290.0,Dense trees,400,1999.0,ScrubbyCamp
2010-05-29,149,0.5538816005297885,2010-12-07,341,0.730657741830865,2011-06-17,168,0.6398399975697892,438420.0,-3058290.0,Dense trees,384,2010.0,ScrubbyCamp
2016-05-29,150,0.5384006771666724,2016-12-07,342,0.6585369341863533,2017-07-03,184,0.5761003723364814,438420.0,-3058290.0,Dense trees,400,2016.0,ScrubbyCamp
1990-02-15,46,0.5668919884386864,1990-08-26,238,0.597704373429274,1991-03-22,81,0.552588863171236,438120.0,-3058320.0,Dense trees,400,1990.0,ScrubbyCamp
2000-01-26,26,0.48557737331132567,2000-08-21,234,0.5616862742269936,2000-12-27,362,0.5162477892474283,438120.0,-3058320.0,Dense trees,336,2000.0,ScrubbyCamp
2010-06-30,181,0.5633064212221323,2011-01-08,8,0.694075545609222,2011-07-19,200,0.6270862371067499,438120.0,-3058320.0,Dense trees,384,2011.0,ScrubbyCamp
2016-09-02,246,0.5863557394071951,2017-03-13,72,0.6154654579077953,2017-10-07,280,0.5870256555960891,438120.0,-3058320.0,Dense trees,400,2017.0,ScrubbyCamp
2010-08-17,229,0.44115871895956565,2011-02-25,56,0.5643485341859623,2011-09-05,248,0.49890703007677784,438780.0,-3059040.0,Dense trees,384,2011.0,ScrubbyCamp
2016-08-01,214,0.43116681481762686,2017-02-09,40,0.5380253286766498,2017-08-20,232,0.4981039769245587,438780.0,-3059040.0,Dense trees,384,2017.0,ScrubbyCamp
2010-08-01,213,0.453197440698221,2011-02-09,40,0.6540342623313498,2011-09-05,248,0.5861447876772102,438750.0,-3059160.0,Dense trees,400,2011.0,ScrubbyCamp
2016-08-01,214,0.5570294920689279,2017-02-09,40,0.6694115853465676,2017-08-20,232,0.5412107836303536,438750.0,-3059160.0,Dense trees,384,2017.0,ScrubbyCamp
1990-03-19,78,0.5952699169166018,1990-10-13,286,0.6699466086122132,1991-05-09,129,0.5990611483392805,438780.0,-3059160.0,Dense trees,416,1990.0,ScrubbyCamp
1992-02-21,52,0.4840462190762572,1992-08-31,244,0.5110111185285401,1993-03-11,70,0.4885993344637029,438780.0,-3059160.0,Dense trees,384,1992.0,ScrubbyCamp
1995-12-30,364,0.5194074208131999,1996-03-19,79,0.5345772299608404,1996-10-29,303,0.517836626569994,438780.0,-3059160.0,Dense trees,304,1996.0,ScrubbyCamp
1998-04-26,116,0.5405597299933628,1998-11-04,308,0.6036684337630153,1999-05-31,151,0.5771568483430909,438780.0,-3059160.0,Dense trees,400,1998.0,ScrubbyCamp
2000-02-11,42,0.5857491652055388,2000-09-06,250,0.6747457119164273,2001-04-02,92,0.6423498252550073,438780.0,-3059160.0,Dense trees,416,2000.0,ScrubbyCamp
2007-08-09,221,0.5407876182118544,2008-03-04,64,0.5664322435028533,2008-09-28,272,0.5340249022402256,438780.0,-3059160.0,Dense trees,416,2008.0,ScrubbyCamp
2010-06-14,165,0.6631170679410447,2010-12-23,357,0.8201790128175233,2011-07-03,184,0.7283732070226729,438780.0,-3059160.0,Dense trees,384,2010.0,ScrubbyCamp
2016-07-16,198,0.6219142144771532,2017-02-09,40,0.673605560059996,2017-09-05,248,0.5847425218860511,438780.0,-3059160.0,Dense trees,416,2017.0,ScrubbyCamp
1990-03-03,62,0.48114850564708767,1990-09-11,254,0.5531502177063935,1990-12-16,350,0.5263686660816086,438750.0,-3059190.0,Dense trees,288,1990.0,ScrubbyCamp
2000-12-11,346,0.5464982501820072,2001-04-02,92,0.5768238355529938,2001-10-11,284,0.5236692207289707,438750.0,-3059190.0,Dense trees,304,2001.0,ScrubbyCamp
2003-08-30,242,0.5146540375295795,2004-03-25,85,0.5454002739579754,2004-10-19,293,0.5119925118962757,438750.0,-3059190.0,Dense trees,416,2004.0,ScrubbyCamp
2007-08-25,237,0.5564707312103829,2008-03-20,80,0.5938816673494929,2008-09-28,272,0.5446160951578364,438750.0,-3059190.0,Dense trees,400,2008.0,ScrubbyCamp
2009-02-19,50,0.5268012363326242,2009-06-11,162,0.5568569959717145,2009-12-20,354,0.511420207268523,438750.0,-3059190.0,Dense trees,304,2009.0,ScrubbyCamp
2010-09-18,261,0.6127318459215148,2011-03-29,88,0.7083564516590248,2011-10-07,280,0.6403592859151136,438750.0,-3059190.0,Dense trees,384,2011.0,ScrubbyCamp
2014-03-05,64,0.6363055946726566,2014-04-22,112,0.6489593915092267,2014-11-16,320,0.6228085800593601,438750.0,-3059190.0,Dense trees,256,2014.0,ScrubbyCamp
2016-08-01,214,0.6781692123229515,2017-02-09,40,0.7526601335253892,2017-08-20,232,0.6362237062084949,438750.0,-3059190.0,Dense trees,384,2017.0,ScrubbyCamp
2019-03-03,62,0.5432133174492723,2019-06-07,158,0.5727079235700493,2020-01-01,1,0.5423501412417628,438750.0,-3059190.0,Dense trees,304,2019.0,ScrubbyCamp
1990-03-19,78,0.5337967038008443,1990-10-13,286,0.5935385091024091,1991-05-09,129,0.5601793251810191,438750.0,-3059220.0,Dense trees,416,1990.0,ScrubbyCamp
1995-03-01,60,0.5097332649850164,1995-09-25,268,0.5649486424298978,1995-11-12,316,0.5541291969243173,438750.0,-3059220.0,Dense trees,256,1995.0,ScrubbyCamp
2000-01-26,26,0.5717509439226736,2000-08-21,234,0.609057085334462,2000-11-09,314,0.584959880253374,438750.0,-3059220.0,Dense trees,288,2000.0,ScrubbyCamp
2004-01-05,5,0.5290306308708631,2004-04-26,117,0.5595172413054607,2004-11-20,325,0.5329608395009475,438750.0,-3059220.0,Dense trees,320,2004.0,ScrubbyCamp
