SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,POS_year,Waterhole
2000-10-24,298,0.431311705767358,2001-03-17,76,0.46061266848646387,2001-09-25,268,0.3851324092612436,558420.0,-2894280.0,Dense trees,336,2001.0,Thooretchy
2003-11-02,306,0.4503185903395799,2004-05-28,149,0.47516747155790473,2004-12-06,341,0.45625567733113354,558420.0,-2894280.0,Dense trees,400,2004.0,Thooretchy
2006-09-07,250,0.40124414742769454,2007-03-18,77,0.4403133002654614,2007-10-12,285,0.41166637239121623,558420.0,-2894280.0,Dense trees,400,2007.0,Thooretchy
2010-06-30,181,0.44838411861720595,2011-01-24,24,0.47872915315071013,2011-08-04,216,0.4182722252036061,558420.0,-2894280.0,Dense trees,400,2011.0,Thooretchy
2013-03-02,61,0.5207839601164035,2013-10-12,285,0.53394512822545,2014-01-16,16,0.5234474380236659,558420.0,-2894280.0,Dense trees,320,2013.0,Thooretchy
2016-08-17,230,0.4786453295183557,2017-02-25,56,0.525985560857502,2017-09-21,264,0.4973676088735803,558420.0,-2894280.0,Dense trees,400,2017.0,Thooretchy
1997-12-03,337,0.40997114360948056,1998-03-25,84,0.4285093235741381,1998-10-03,276,0.39330875305130675,558570.0,-2894130.0,Mid-dense trees,304,1998.0,Thooretchy
1999-12-25,359,0.48977767687002954,2000-07-20,202,0.5361655633924495,2000-10-24,298,0.5141040149367904,558570.0,-2894130.0,Mid-dense trees,304,2000.0,Thooretchy
2004-02-06,37,0.41399713442353636,2004-09-01,245,0.44713561254610035,2005-03-12,71,0.4169839577997008,558570.0,-2894130.0,Mid-dense trees,400,2004.0,Thooretchy
2006-08-06,218,0.3903731878608713,2007-02-14,45,0.43459658550796965,2007-09-10,253,0.4101513242319052,558570.0,-2894130.0,Mid-dense trees,400,2007.0,Thooretchy
2007-12-31,365,0.4040440870432859,2008-07-26,208,0.43355640068219,2008-11-15,320,0.4033156680572027,558570.0,-2894130.0,Mid-dense trees,320,2008.0,Thooretchy
2010-02-06,37,0.4563860003132844,2010-08-17,229,0.5425233935082288,2010-11-05,309,0.5252986977721318,558570.0,-2894130.0,Mid-dense trees,272,2010.0,Thooretchy
2012-02-28,59,0.4650209398318834,2012-09-23,267,0.536457780356,2013-04-03,93,0.5141711286986553,558570.0,-2894130.0,Mid-dense trees,400,2012.0,Thooretchy
2016-07-16,198,0.4596173947754079,2017-01-24,24,0.5116193185179512,2017-08-04,216,0.4761284862720674,558570.0,-2894130.0,Mid-dense trees,384,2017.0,Thooretchy
1995-01-12,12,0.39228694595434765,1995-08-08,220,0.41204872166972584,1995-09-25,268,0.404927951166306,558600.0,-2894130.0,Mid-dense trees,256,1995.0,Thooretchy
2000-11-25,330,0.4808486440207814,2001-02-13,44,0.4944336184308052,2001-09-09,252,0.4327668286134253,558600.0,-2894130.0,Mid-dense trees,288,2001.0,Thooretchy
2004-02-22,53,0.4131607388841343,2004-09-17,261,0.43936585103107856,2005-03-12,71,0.4151170207751682,558600.0,-2894130.0,Mid-dense trees,384,2004.0,Thooretchy
2006-08-22,234,0.39816717129806933,2007-03-02,61,0.43538873104200215,2007-09-26,269,0.4108864895556879,558600.0,-2894130.0,Mid-dense trees,400,2007.0,Thooretchy
2010-01-21,21,0.4622811239812346,2010-08-01,213,0.5047621926060812,2010-11-05,309,0.4921657992081576,558600.0,-2894130.0,Mid-dense trees,288,2010.0,Thooretchy
2012-03-31,91,0.4471736377885165,2012-10-09,283,0.5071817356511558,2013-05-05,125,0.4902446824053259,558600.0,-2894130.0,Mid-dense trees,400,2012.0,Thooretchy
2016-07-16,198,0.4460011697578135,2017-01-24,24,0.49664010129303204,2017-08-20,232,0.4657997801174143,558600.0,-2894130.0,Mid-dense trees,400,2017.0,Thooretchy
2000-12-11,346,0.3924107179443671,2001-04-02,92,0.41662322776417293,2001-10-11,284,0.35242844027047143,558630.0,-2894130.0,Mid-dense trees,304,2001.0,Thooretchy
2003-10-17,290,0.40605020257022034,2004-04-26,117,0.43629768617891573,2004-11-04,309,0.41181716138399166,558630.0,-2894130.0,Mid-dense trees,384,2004.0,Thooretchy
2006-10-09,282,0.3864189598368266,2007-04-19,109,0.41263622918127746,2007-11-13,317,0.3957035248450282,558630.0,-2894130.0,Mid-dense trees,400,2007.0,Thooretchy
2010-04-27,117,0.4156382370444711,2010-11-05,309,0.43656180005002754,2011-05-16,136,0.4108058401305264,558630.0,-2894130.0,Mid-dense trees,384,2010.0,Thooretchy
2013-09-10,253,0.4555584007654927,2014-03-05,64,0.46941985803992714,2014-09-13,256,0.4406910486660564,558630.0,-2894130.0,Mid-dense trees,368,2014.0,Thooretchy
2016-11-21,326,0.3949960341723361,2017-06-01,152,0.4469225539912261,2017-11-08,312,0.40978415483740066,558630.0,-2894130.0,Mid-dense trees,352,2017.0,Thooretchy
1995-01-28,28,0.3690886200052203,1995-08-24,236,0.4015155476659985,1995-10-27,300,0.38431672019374924,556140.0,-2894160.0,Mid-dense trees,272,1995.0,Thooretchy
1999-11-23,327,0.43125646332064543,2000-06-18,170,0.4677865235357859,2000-10-08,282,0.42717136143799395,556140.0,-2894160.0,Mid-dense trees,320,2000.0,Thooretchy
2003-12-20,354,0.4225453362092579,2004-05-28,149,0.4410888811405956,2004-12-06,341,0.4259144640782889,556140.0,-2894160.0,Mid-dense trees,352,2004.0,Thooretchy
2010-06-30,181,0.6077738385444036,2011-01-24,24,0.6501638443447569,2011-08-20,232,0.5482593840403589,556140.0,-2894160.0,Mid-dense trees,416,2011.0,Thooretchy
2012-01-11,11,0.4978159457469836,2012-08-06,219,0.5344536127560361,2012-11-10,315,0.5147249544239131,556140.0,-2894160.0,Mid-dense trees,304,2012.0,Thooretchy
2016-04-27,118,0.5267634964129891,2016-11-05,310,0.6038264292666953,2017-06-01,152,0.5642906096143822,556140.0,-2894160.0,Mid-dense trees,400,2016.0,Thooretchy
1999-11-07,311,0.4211888811489789,2000-06-02,154,0.46797428991930695,2000-09-22,266,0.41477211748390297,556170.0,-2894160.0,Mid-dense trees,320,2000.0,Thooretchy
2003-10-01,274,0.3981739814390438,2004-04-10,101,0.42945646616543914,2004-11-04,309,0.4130970517773652,556170.0,-2894160.0,Mid-dense trees,400,2004.0,Thooretchy
2006-08-22,234,0.3850424641736892,2007-02-14,45,0.417248283733896,2007-09-10,253,0.3608614397818997,556170.0,-2894160.0,Mid-dense trees,384,2007.0,Thooretchy
2010-07-16,197,0.5562814422186407,2011-02-09,40,0.5892188997432182,2011-08-20,232,0.5053301756065968,556170.0,-2894160.0,Mid-dense trees,400,2011.0,Thooretchy
2016-06-14,166,0.45519914377023024,2016-12-23,358,0.5145804883994747,2017-07-19,200,0.4734546340518261,556170.0,-2894160.0,Mid-dense trees,400,2016.0,Thooretchy
2000-11-25,330,0.42561654542445637,2001-03-17,76,0.4402490048800599,2001-09-25,268,0.3864647182428028,558450.0,-2894160.0,Mid-dense trees,304,2001.0,Thooretchy
2004-01-05,5,0.394414748637483,2004-08-16,229,0.41829452915780274,2005-01-23,23,0.3936847653111502,558450.0,-2894160.0,Mid-dense trees,384,2004.0,Thooretchy
